"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1,654757255E0;1,339818646E1
3,309514510E0;1,728581409E1
4,964271765E0;3,110478863E1
6,619029020E0;3,759322459E1
8,273786275E0;3,833188532E1
9,928543529E0;4,656253211E1
1,158330078E1;4,130382582E1
1,323805804E1;4,302140307E1
1,489281529E1;4,477678109E1
1,654757255E1;4,850399534E1
1,820232980E1;4,593776326E1
1,985708706E1;2,404492290E2
2,151184431E1;6,063349271E1
2,316660157E1;8,256768025E1
2,482135882E1;9,052243663E1
2,647611608E1;6,497360876E1
2,813087333E1;2,150724272E1
2,978563059E1;2,035437265E2
3,144038784E1;6,002300938E1
3,309514510E1;5,588235502E1
3,474990235E1;4,087456009E1
3,640465961E1;2,393240456E1
3,805941686E1;5,097949020E1
3,971417412E1;6,872754668E1
4,136893137E1;3,233580487E1
4,302368863E1;2,875231973E1
4,467844588E1;1,954326179E1
4,633320314E1;1,471875203E1
4,798796039E1;1,428992280E1
4,964271765E1;2,844821836E1
5,129747490E1;1,439599089E1
5,295223216E1;9,865717081E0
5,460698941E1;5,243787716E0
5,626174667E1;7,683023274E0
5,791650392E1;6,744023829E0
5,957126118E1;1,379433700E1
6,122601843E1;1,115170975E1
6,288077569E1;1,327878358E1
6,453553294E1;8,993544666E0
6,619029020E1;8,855375865E0
6,784504745E1;7,549976986E0
6,949980471E1;1,716666055E1
7,115456196E1;1,604737344E1
7,280931922E1;1,923143037E1
7,446407647E1;1,239107842E1
7,611883373E1;1,209914756E1
7,777359098E1;7,188925797E0
7,942834824E1;1,287418695E1
8,108310549E1;7,464133976E0
8,273786275E1;7,652636046E0
8,439262000E1;7,223875331E0
8,604737726E1;5,165280160E0
8,770213451E1;7,089307968E0
8,935689177E1;9,139252870E0
9,101164902E1;6,378869136E0
9,266640628E1;7,412868047E0
9,432116353E1;6,272297475E0
9,597592079E1;6,349984422E0
9,763067804E1;7,567459729E0
9,928543529E1;7,867128569E0
1,009401925E2;8,400961187E0
1,025949498E2;4,286847414E0
1,042497071E2;4,392792883E0
1,059044643E2;5,793268662E0
1,075592216E2;3,412145901E0
1,092139788E2;1,080274594E1
1,108687361E2;1,166371544E1
1,125234933E2;7,361500759E0
1,141782506E2;4,594717073E0
1,158330078E2;3,980478223E0
1,174877651E2;1,329640374E1
1,191425224E2;2,364169189E1
1,207972796E2;1,092874312E1
1,224520369E2;2,171449123E1
1,241067941E2;1,917099340E1
1,257615514E2;1,184675270E1
1,274163086E2;1,605416449E1
1,290710659E2;5,866319894E1
1,307258231E2;6,359770258E1
1,323805804E2;7,061070913E1
1,340353376E2;5,287622299E1
1,356900949E2;8,068604722E0
1,373448522E2;2,216037901E1
1,389996094E2;6,814222725E1
1,406543667E2;1,060583686E2
1,423091239E2;5,943630742E1
1,439638812E2;1,135333738E1
1,456186384E2;3,621514155E1
1,472733957E2;3,896404800E1
1,489281529E2;1,033114306E2
1,505829102E2;8,736710522E1
1,522376675E2;7,548604961E1
1,538924247E2;2,278145427E1
1,555471820E2;1,467471730E1
1,572019392E2;1,262016803E1
1,588566965E2;1,528459764E1
1,605114537E2;9,119874491E0
1,621662110E2;9,157229254E0
1,638209682E2;1,127389903E1
1,654757255E2;7,522944278E0
1,671304827E2;5,663320733E0
1,687852400E2;7,655235753E0
1,704399973E2;1,977543328E1
1,720947545E2;5,701463302E0
1,737495118E2;5,923945786E0
1,754042690E2;1,825176397E1
1,770590263E2;9,239365396E0
1,787137835E2;3,857506708E1
1,803685408E2;3,403378043E1
1,820232980E2;2,213222511E1
1,836780553E2;1,149256861E1
1,853328126E2;1,513470235E1
1,869875698E2;2,068167409E1
1,886423271E2;1,018701757E1
1,902970843E2;1,430558281E1
1,919518416E2;2,561509147E1
1,936065988E2;1,921077633E1
1,952613561E2;5,845844802E0
1,969161133E2;1,582036955E1
1,985708706E2;2,334616434E1
2,002256278E2;5,547974508E0
2,018803851E2;8,122931400E0
2,035351424E2;8,533207472E0
2,051898996E2;3,027381318E1
2,068446569E2;6,228494103E0
2,084994141E2;1,789512672E1
2,101541714E2;7,782704887E0
