"Time (s)";"Peak-Frequency"
0,000000000E0;0,000000000E0
1,048401000E-2;0,000000000E0
1,196005730E-1;2,116429635E1
2,382593230E-1;1,882106019E1
3,580066140E-1;2,102582790E1
4,734653120E-1;2,006270862E1
5,926265100E-1;1,933264126E1
7,136301040E-1;2,978210506E1
8,309212500E-1;1,985510058E1
9,450609890E-1;2,978316732E1
1,062154687E0;2,978342901E1
1,178004791E0;2,978340304E1
1,295712395E0;2,978346380E1
1,412975364E0;2,978342718E1
1,529858124E0;2,978364904E1
1,646444426E0;3,805705048E1
1,759653958E0;3,805686284E1
1,880523281E0;1,985570286E1
2,003586353E0;3,805655964E1
2,129250885E0;3,805624363E1
2,252206197E0;1,985543735E1
2,363863020E0;1,985540806E1
2,480066457E0;2,978307436E1
2,603856874E0;2,978303789E1
2,716822134E0;1,985542170E1
2,841989738E0;2,978314329E1
2,965062030E0;1,985547729E1
3,089869165E0;1,985558622E1
3,205500467E0;1,985560351E1
3,325591770E0;1,985567343E1
3,442143592E0;1,985573482E1
3,559997759E0;2,978361045E1
3,677177186E0;1,985575169E1
3,808704217E0;1,985572470E1
3,934384998E0;1,985572175E1
4,058477551E0;1,985564230E1
4,184213592E0;1,985558330E1
4,301389113E0;1,985559534E1
4,424458592E0;1,985564342E1
4,549224321E0;1,985573274E1
4,670385050E0;3,805705157E1
4,790431300E0;3,805701576E1
4,907457759E0;3,143837234E1
5,028473123E0;3,143828371E1
5,152645363E0;1,985569355E1
5,272420883E0;2,978354166E1
5,397193644E0;2,978352967E1
5,515386717E0;2,978354077E1
5,633344529E0;2,978356468E1
5,751808227E0;2,978362554E1
5,875997133E0;2,978360028E1
6,000712446E0;2,978360022E1
6,121271143E0;2,978362666E1
6,238822133E0;2,978361341E1
6,361590727E0;2,978361263E1
6,483451143E0;2,978362292E1
6,606994841E0;1,472632987E2
6,731201820E0;1,985570388E1
6,852078695E0;1,985570786E1
6,980657966E0;1,985571187E1
7,103781508E0;1,985571177E1
7,245143903E0;1,985570396E1
7,370344060E0;2,978357672E1
7,501316039E0;2,978356523E1
7,633394268E0;2,978352294E1
7,767394268E0;2,978347972E1
7,900183591E0;2,978344681E1
8,033672861E0;2,978344756E1
8,162913018E0;2,978341253E1
8,293151247E0;2,481952240E1
8,424079007E0;2,481947720E1
8,558517340E0;2,481941135E1
8,687347445E0;2,481937387E1
8,822646976E0;2,151008602E1
8,967787497E0;2,481932597E1
9,096667080E0;6,618490570E1
9,224752340E0;6,618493420E1
9,358232809E0;6,783954754E1
9,489013017E0;7,114879645E1
9,622220309E0;7,280348159E1
9,753609892E0;7,280401231E1
9,890503017E0;7,280394994E1
1,002666500E1;7,280394720E1
1,016648073E1;7,280384483E1
