"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.179116100E-2;-2.341428518E0;3.349344254E0;1.399350739E1;1.457801919E1
2.414699500E-2;-1.249719620E0;4.113061905E0;1.309093189E1;1.377866377E1
2.650282800E-2;3.351738304E-2;3.629453659E0;1.050530529E1;1.111465233E1
2.885892200E-2;1.288025141E0;5.111401081E0;8.645091057E0;1.012536563E1
3.121454700E-2;1.103679538E0;5.568673611E0;6.361120701E0;8.525965686E0
3.357095300E-2;1.386183143E0;5.446574688E0;4.069967747E0;6.939115001E0
3.592803600E-2;5.578250289E-1;6.021158218E0;3.153028011E0;6.819611477E0
3.828376600E-2;-5.243076086E-1;7.005133152E0;3.828163862E0;8.000101718E0
4.063933900E-2;5.123371482E-1;4.467388153E0;1.829091430E0;4.854443503E0
4.299512000E-2;-1.501099944E0;6.078616619E0;4.397959709E0;7.651465915E0
4.535110900E-2;-2.631114483E0;5.738654613E0;6.815999031E0;9.290466242E0
4.770709900E-2;-9.504572153E-1;3.059658289E0;6.916551590E0;7.622569361E0
5.006350500E-2;-1.970343351E0;5.700349331E0;1.128338718E1;1.279418078E1
5.241881800E-2;7.038650513E-1;3.744370461E0;1.153237343E1;1.214542601E1
5.477470300E-2;2.676602364E0;3.287097692E0;1.272702885E1;1.341441295E1
5.713090100E-2;1.489129424E0;5.527974129E0;1.536771965E1;1.639947596E1
5.948720300E-2;2.640691042E0;2.439586639E0;1.247325516E1;1.298102178E1
6.184303600E-2;1.082132697E0;4.323742390E0;1.258577728E1;1.335168713E1
6.419892200E-2;-1.211413980E0;4.661310196E0;1.178135967E1;1.272775598E1
6.655470300E-2;4.668492675E-1;3.390043974E0;8.692973137E0;9.342276400E0
6.891064100E-2;-1.132408738E0;4.656522274E0;7.129626274E0;8.590525016E0
7.126694300E-2;-1.589681625E0;5.726684093E0;6.028340816E0;8.465393752E0
7.362350500E-2;-4.788197577E-1;4.316560268E0;3.629453659E0;5.659937701E0
7.597902600E-2;-1.034250736E0;5.980458736E0;4.287830830E0;7.431087034E0
7.833543200E-2;-6.296479702E-1;5.717107773E0;4.441053391E0;7.266686526E0
8.069116100E-2;7.302001119E-1;4.989301682E0;4.754680157E0;6.930606529E0
8.304709900E-2;-3.208092451E-1;5.609373569E0;7.316365719E0;9.224814239E0
8.540350500E-2;-1.436459273E-1;4.460206032E0;8.625937462E0;9.711893178E0
8.775881800E-2;-9.313044548E-1;4.532029152E0;1.063458729E1;1.159745933E1
9.011428600E-2;-9.552454352E-1;4.675674915E0;1.265520573E1;1.352511226E1
9.247022400E-2;1.180290699E0;3.490596056E0;1.169517231E1;1.226190859E1
9.482647400E-2;8.666637540E-1;4.792985916E0;1.243255520E1;1.335261206E1
9.718262000E-2;1.680657387E0;4.972543240E0;1.159222603E1;1.272519154E1
9.953897400E-2;1.467582583E0;3.356526613E0;8.278793335E0;9.053092766E0
1.018947030E-1;-7.158355117E-1;5.549520969E0;8.613967896E0;1.027180833E1
1.042507450E-1;-9.336985350E-1;5.365175247E0;7.938831806E0;9.627146453E0
1.066069430E-1;1.675869152E-2;3.411590815E0;5.492062569E0;6.465445383E0
1.089627240E-1;-2.169053555E0;6.260568142E0;7.804761887E0;1.023786183E1
1.113190780E-1;-1.029462457E0;4.184884548E0;6.265356541E0;7.604455550E0
1.136751200E-1;-7.278060317E-1;4.553575993E0;7.256513596E0;8.597775614E0
1.160313180E-1;-1.376606822E0;5.070701122E0;8.810283661E0;1.025807752E1
1.183876720E-1;1.501099944E0;4.048420906E0;8.762401581E0;9.768454040E0
1.207436090E-1;1.714174747E0;5.015636921E0;1.011506748E1;1.141970223E1
1.230993910E-1;2.652661562E0;4.678069115E0;1.022998428E1;1.155740120E1
1.254556930E-1;2.216935396E0;4.548787594E0;1.003366756E1;1.123747106E1
1.278120990E-1;-5.410663486E-1;5.307716846E0;1.056036949E1;1.183156857E1
