"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
8.372841101E1;-1.254507780E0;4.148972988E0;9.506966591E0
8.373077164E1;3.998144865E-1;3.945474863E0;9.348956108E0
8.373313143E1;-4.907902479E-1;3.907169342E0;9.066452026E0
8.373549232E1;-7.325942516E-1;5.626132011E0;1.060346317E1
8.373785232E1;1.407730103E0;2.140324354E0;6.914157391E0
8.374021252E1;5.985246971E-2;5.511215210E0;9.200521469E0
8.374257388E1;-4.500905871E-1;4.764256477E0;8.987446785E0
8.374493440E1;2.142718315E0;2.901647806E0;7.795185566E0
8.374729502E1;1.819515079E-1;4.486541271E0;9.243615150E0
8.374965591E1;-3.423561156E-1;5.233500004E0;1.065373993E1
8.375201685E1;1.491523504E0;3.164998531E0;9.195733070E0
8.375437700E1;-2.513803840E-1;4.010115623E0;1.007676220E1
8.375673768E1;-5.267017484E-1;4.567940712E0;1.057712841E1
8.375909810E1;4.572728574E-1;3.526507616E0;9.492601395E0
8.376145841E1;2.154688835E-1;4.046027184E0;9.284315109E0
8.376381846E1;8.786342740E-1;4.874385357E0;9.291497231E0
8.376617898E1;8.714519739E-1;4.448235512E0;8.065718651E0
8.376854008E1;7.397765517E-1;4.553575993E0;7.261301517E0
8.377090034E1;4.812138677E-1;4.704404354E0;6.643624306E0
8.377326065E1;-3.639030159E-1;5.429816246E0;6.839940071E0
8.377562075E1;-1.675869226E-1;4.582304955E0;6.181562901E0
8.377798070E1;8.092054129E-1;3.708459139E0;5.058730602E0
8.378034086E1;-1.343089461E0;6.897398472E0;8.609179497E0
8.378270112E1;-2.154688835E-1;2.880100727E0;6.725023270E0
8.378506174E1;1.201837540E0;4.778621197E0;8.915623665E0
8.378742180E1;-1.060585737E0;4.974937439E0;1.013661385E1
8.378978185E1;2.178629875E0;3.658182859E0;1.017252541E1
8.379214154E1;2.463527679E0;3.646212339E0;1.105115986E1
8.379450138E1;4.860020578E-1;5.164071083E0;1.294249821E1
8.379686122E1;2.480286360E0;3.030929089E0;1.091948414E1
8.379922148E1;2.154688910E-2;3.509748936E0;1.073753262E1
8.380158117E1;-1.948796391E0;4.860020638E0;1.105115986E1
8.380394101E1;-1.843456030E-1;2.485074520E0;8.317099571E0
8.380630148E1;-1.232960820E0;3.809011221E0;7.816732407E0
8.380866185E1;-1.869791150E0;6.274932861E0;9.044905663E0
8.381102226E1;1.096497297E0;2.947135687E0;5.425027847E0
