"Time (s)";"Peak-Frequency"
0,000000000E0;0,000000000E0
0,000000000E0;0,000000000E0
1,040265700E-2;0,000000000E0
1,177060940E-1;2,172263040E1
2,342195840E-1;1,925325051E1
3,538270840E-1;2,133007399E1
4,721609380E-1;2,016901068E1
5,983252610E-1;1,917282572E1
7,254486980E-1;2,003214751E1
8,589531770E-1;2,039714550E1
9,941154170E-1;1,962774799E1
1,134702552E0;1,982550395E1
1,274505364E0;1,985366528E1
1,413342760E0;1,985379594E1
1,552060416E0;1,985368916E1
1,682738281E0;1,985364505E1
1,818218385E0;1,985344883E1
1,958174791E0;1,985339109E1
2,078952187E0;1,985353216E1
2,217371458E0;1,985361723E1
2,371652708E0;1,985372401E1
2,500857291E0;1,985380704E1
2,638507551E0;1,985383584E1
2,776477656E0;1,985384718E1
2,904930103E0;2,068108092E1
3,037607343E0;2,068123121E1
3,176544739E0;2,068125086E1
3,315955468E0;1,985401247E1
3,454977864E0;1,985408493E1
3,593707655E0;1,985402369E1
3,731995364E0;1,985397926E1
3,865660416E0;1,985400862E1
3,996023905E0;1,985401961E1
4,115197343E0;2,068126161E1
4,254678280E0;2,068119344E1
4,395284842E0;2,068106332E1
4,534479322E0;2,068103898E1
4,673668801E0;1,985378014E1
4,812829842E0;1,985378676E1
4,951770363E0;1,985381309E1
5,091601301E0;1,985385404E1
5,224928696E0;1,985389203E1
5,361898853E0;2,068110368E1
5,499172967E0;2,068103097E1
5,638838957E0;2,068096691E1
5,787609634E0;2,068093892E1
5,901422550E0;2,068089210E1
6,039996456E0;2,068088379E1
6,176989477E0;1,985362215E1
6,316253696E0;1,985357016E1
6,457261092E0;1,985355872E1
6,596950519E0;1,985353282E1
6,739486196E0;1,985349799E1
6,876944789E0;1,985344751E1
7,020195675E0;1,985342541E1
7,159898383E0;1,985343070E1
7,312087081E0;1,985344049E1
7,433857237E0;1,985343938E1
7,573425883E0;1,985342836E1
7,713969372E0;1,985344976E1
7,854140622E0;1,985343857E1
7,992232029E0;2,150787651E1
8,131131456E0;2,150788889E1
8,273338226E0;1,902619008E1
8,417515414E0;1,902620169E1
8,539044424E0;1,902619500E1
8,656991508E0;1,902619568E1
8,799130987E0;1,985341299E1
8,939317184E0;1,985342612E1
9,065332653E0;1,985344593E1
9,202168226E0;1,985344754E1
9,340275153E0;1,985343505E1
9,479471507E0;1,985341635E1
9,618523278E0;1,985344952E1
9,759059111E0;2,068065583E1
9,903119528E0;2,068068446E1
1,004738614E1;2,068070251E1
1,020754468E1;2,564409860E1
1,032444453E1;8,189572708E1
1,046564422E1;7,941423988E1
1,060554390E1;7,858688587E1
1,074784494E1;7,775968858E1
1,088742296E1;7,775964334E1
1,102745718E1;7,775961988E1
1,116923265E1;1,571734932E1
1,130664922E1;1,571736727E1
1,144807416E1;2,316246879E1
1,159012599E1;1,406294861E1
1,173195026E1;1,240845633E1
1,187747119E1;1,240842926E1
1,202462588E1;2,233511865E1
1,216615041E1;2,233510144E1
1,230470854E1;2,233512009E1
1,244600020E1;2,233514271E1
1,258789974E1;2,233515149E1
1,272647375E1;2,233508820E1
1,286730265E1;2,233507028E1
1,300644052E1;2,233510288E1
1,314689510E1;8,189525768E1
1,330563234E1;8,189539135E1
1,342323109E1;8,189548003E1
1,356511088E1;8,189551223E1
1,368810729E1;8,189535871E1
1,382874593E1;8,354984551E1
1,396805979E1;8,355002419E1
1,410871234E1;8,355009304E1
1,424933724E1;8,355013445E1
1,438996906E1;1,819906782E1
1,452911359E1;1,819907987E1
1,467020218E1;7,858692566E1
1,480878598E1;8,189577694E1
