"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.135005900E-2;1.254507780E0;7.220602036E0;2.099624634E0;7.623601979E0
2.370620500E-2;1.173108459E0;7.627598763E0;2.566473961E0;8.132849127E0
2.606271500E-2;9.384866953E-1;6.727417469E0;1.941614151E0;7.064613832E0
2.841933000E-2;2.944741547E-1;6.203109741E0;3.234427452E0;7.001914483E0
3.077526700E-2;-4.596669674E-1;5.860754013E0;5.499244690E0;8.049933135E0
3.313125700E-2;-1.022280216E0;5.235894203E0;7.670692444E0;9.343402352E0
3.548683000E-2;-1.103679538E0;4.611034393E0;9.545271873E0;1.065795299E1
3.784245500E-2;-8.642696738E-1;3.983780384E0;1.140548706E1;1.211208501E1
4.019797500E-2;-2.777154446E-1;3.200910091E0;1.307896137E1;1.346782023E1
4.255375700E-2;4.453023672E-1;2.626326323E0;1.442205143E1;1.466599644E1
4.491016300E-2;9.360926151E-1;2.619143963E0;1.543714905E1;1.568571819E1
4.726688200E-2;1.089314938E0;2.360581398E0;1.480271244E1;1.502927966E1
4.962276700E-2;9.241221547E-1;2.712513924E0;1.430713463E1;1.459129312E1
5.197870500E-2;5.434604287E-1;3.323009014E0;1.337582970E1;1.379313446E1
5.433500700E-2;1.340695322E-1;3.320615053E0;1.134802818E1;1.182464387E1
5.669089200E-2;-2.825036645E-1;3.703670740E0;9.212491989E0;9.933126090E0
5.904667300E-2;-6.152833700E-1;4.876779079E0;8.096841812E0;9.472085047E0
6.140308000E-2;-7.038650513E-1;5.659649372E0;6.437731743E0;8.600665499E0
6.375964200E-2;-4.883961678E-1;6.059463978E0;4.773832798E0;7.729496368E0
6.611630900E-2;-1.340695322E-1;6.025946617E0;3.313432693E0;6.878142444E0
6.847375700E-2;1.029462516E-1;6.234233379E0;3.002199888E0;6.920221668E0
7.083052800E-2;7.661116123E-2;6.741782188E0;3.866469622E0;7.772199411E0
7.318740300E-2;3.591148183E-2;6.758541107E0;4.646945953E0;8.202028665E0
7.554417300E-2;8.379346132E-2;6.497584343E0;5.415451527E0;8.458885203E0
7.790068400E-2;6.464067101E-2;5.760201454E0;5.932576656E0;8.269193733E0
8.025677800E-2;-4.548787698E-2;4.761862278E0;6.277327061E0;7.879228168E0
8.261271500E-2;-2.322275788E-1;4.220796108E0;7.452829361E0;8.568180374E0
8.496865300E-2;-3.734794259E-1;5.006060600E0;1.026589584E1;1.142754335E1
8.732505900E-2;-2.681390643E-1;4.706798077E0;1.126184082E1;1.220880442E1
8.968172500E-2;2.394098788E-2;3.684518099E0;1.090990829E1;1.151530919E1
9.203834000E-2;3.255974352E-1;3.009382248E0;1.096497250E1;1.137510514E1
9.439490300E-2;5.793719292E-1;3.267944813E0;1.217399216E1;1.261828911E1
9.675084000E-2;5.817660093E-1;3.325403214E0;1.277491093E1;1.321344419E1
9.910719400E-2;6.033129096E-1;3.411590815E0;1.294728661E1;1.340280451E1
1.014632360E-1;7.158355117E-1;3.866469622E0;1.287306881E1;1.346023434E1
1.038191730E-1;6.966827512E-1;3.878440142E0;1.165686703E1;1.230488576E1
1.061754230E-1;4.261495769E-1;3.552842617E0;9.664977074E0;1.030611837E1
1.085319860E-1;-6.224656850E-2;4.091515064E0;8.676214218E0;9.592760985E0
1.108885480E-1;-6.559830904E-1;5.154494762E0;8.393710136E0;9.871853925E0
1.132453190E-1;-1.019886136E0;5.460939407E0;7.302001476E0;9.175034196E0
1.156018820E-1;-8.427227736E-1;5.559097290E0;5.772171974E0;8.058021696E0
1.179583400E-1;-4.381200671E-1;5.992429256E0;5.018031120E0;7.828268896E0
1.203147460E-1;3.112328425E-2;5.764989853E0;3.674941540E0;6.836758880E0
1.226704750E-1;3.543266058E-1;5.915818214E0;3.775493860E0;7.026863196E0
1.250266730E-1;4.644551575E-1;6.624471188E0;5.180830002E0;8.422608659E0
1.273828710E-1;5.721896291E-1;6.090587139E0;5.104218483E0;7.967163799E0
1.297392780E-1;5.578250289E-1;5.561491489E0;5.219135284E0;7.647269412E0
1.320949030E-1;1.627987176E-1;5.551915169E0;7.000344753E0;8.936167642E0
1.344514130E-1;-3.088387549E-1;4.900720119E0;8.106418610E0;9.477682298E0
1.368074550E-1;-5.793719292E-1;4.417112350E0;9.365714073E0;1.037126576E1
1.391639650E-1;-5.482486486E-1;4.156155586E0;1.061543369E1;1.141322208E1
1.415202670E-1;-1.723751128E-1;3.751552820E0;1.181248379E1;1.239510528E1
1.438763610E-1;3.734794259E-1;3.452290535E0;1.273660564E1;1.320147417E1
1.462328190E-1;9.169398546E-1;3.682123899E0;1.381394958E1;1.432564198E1
1.485884440E-1;1.302389741E0;3.030929089E0;1.270069408E1;1.312213323E1
1.509445380E-1;1.271266460E0;2.995017529E0;1.200161743E1;1.243483291E1
1.533004750E-1;8.834224343E-1;3.758735180E0;1.183642483E1;1.245028024E1
1.556565690E-1;2.753213644E-1;3.990962744E0;1.064655685E1;1.137333541E1
1.580130280E-1;-3.279915452E-1;4.098697186E0;8.884500504E0;9.789854252E0
1.603694340E-1;-7.325942516E-1;4.718768597E0;7.981925488E0;9.301322803E0
1.627257360E-1;-9.217280149E-1;5.037183762E0;6.662776947E0;8.403296938E0
1.650825590E-1;-8.762401342E-1;5.482486248E0;5.944547176E0;8.134069914E0
1.674389130E-1;-5.650073290E-1;5.863147736E0;5.365175247E0;7.967486435E0
1.697955800E-1;-1.412518322E-1;5.721896172E0;4.685251236E0;7.396730833E0
1.721522980E-1;8.139935881E-2;6.076222897E0;5.504033089E0;8.198871312E0
1.745092250E-1;2.537744641E-1;5.973276615E0;6.140863419E0;8.570568157E0
1.768654230E-1;4.644551575E-1;5.865541935E0;6.748964310E0;8.953704263E0
1.792214650E-1;5.626131892E-1;5.796113014E0;7.313971996E0;9.349098675E0
1.815774030E-1;5.578250289E-1;5.120977402E0;7.287636757E0;8.924417505E0
1.839333920E-1;4.429082870E-1;4.366836071E0;7.412129879E0;8.614237886E0
1.862894860E-1;2.274393886E-1;4.678069115E0;9.076028824E0;1.021324427E1
1.886454230E-1;5.745837092E-2;4.874385357E0;1.003845596E1;1.115945931E1
1.910007360E-1;-9.576395154E-3;4.354865551E0;9.691311836E0;1.062480451E1
1.933568300E-1;-7.182296365E-3;3.828163862E0;9.609912872E0;1.034433737E1
1.957126110E-1;8.858165145E-2;4.065179825E0;1.092906094E1;1.166095651E1
1.980691210E-1;1.268872321E-1;3.567207098E0;1.091230202E1;1.148126309E1
2.004255800E-1;1.963160932E-1;3.430743456E0;1.130254078E1;1.181338092E1
2.027816730E-1;3.375679255E-1;3.988568544E0;1.170235443E1;1.236801239E1
2.051374550E-1;4.596669674E-1;4.280648708E0;1.154913235E1;1.232549005E1
2.074929230E-1;4.429082870E-1;4.283042908E0;1.089075565E1;1.171107096E1
2.098488090E-1;3.495384157E-1;3.823375702E0;9.150245667E0;9.923072842E0
2.122049550E-1;3.591148183E-2;4.163337708E0;8.427227974E0;9.399619238E0
2.145610480E-1;-4.500905871E-1;4.991695881E0;8.355404854E0;9.743325899E0
2.169169340E-1;-7.110473514E-1;5.154494762E0;7.129626274E0;8.826436166E0
2.192725590E-1;-5.745837092E-1;5.659649372E0;6.634047508E0;8.739128320E0
2.216279750E-1;-2.058925033E-1;5.484880447E0;5.518397808E0;7.783252509E0
2.239834440E-1;1.795574129E-1;5.324475765E0;4.946208000E0;7.269611862E0
2.263392780E-1;3.998144865E-1;5.662043571E0;5.293352604E0;7.761325326E0
2.286952150E-1;5.290958285E-1;6.306056023E0;6.203109741E0;8.861425135E0
2.310519340E-1;6.296479702E-1;5.824842453E0;5.695560932E0;8.170964478E0
2.334076110E-1;3.782676160E-1;5.520792007E0;6.349150181E0;8.422228850E0
2.357637570E-1;-2.394098788E-2;5.003666401E0;7.189478874E0;8.759329718E0
2.381195900E-1;-4.572728574E-1;4.922266960E0;8.522992134E0;9.852878027E0
2.404754750E-1;-7.038650513E-1;4.706798077E0;9.200521469E0;1.035852159E1
2.428315170E-1;-6.272538900E-1;4.426688671E0;1.015097904E1;1.109195184E1
2.451870380E-1;-1.891338080E-1;3.964627504E0;1.079499149E1;1.150156008E1
2.475424550E-1;4.572728574E-1;3.849710941E0;1.211892796E1;1.272390615E1
2.498986530E-1;1.060585737E0;3.323009014E0;1.191303539E1;1.241320439E1
2.522547980E-1;1.316754341E0;3.296674013E0;1.182684803E1;1.234812682E1
2.546109440E-1;1.211413980E0;3.818587542E0;1.189867115E1;1.255497948E1
2.569674550E-1;8.187817931E-1;4.024479866E0;1.135999870E1;1.207958660E1
2.593240170E-1;2.609567642E-1;3.785070181E0;1.002409172E1;1.071808143E1
2.616799550E-1;-3.639030159E-1;3.861681461E0;8.635514259E0;9.466631694E0
2.640356840E-1;-9.193339348E-1;4.812138557E0;8.345828056E0;9.677535757E0
2.663918820E-1;-1.211413980E0;5.348416805E0;7.383400440E0;9.197156529E0
2.687480280E-1;-1.065374017E0;5.568673611E0;6.409002304E0;8.556895355E0
2.711040170E-1;-5.937365294E-1;5.331657887E0;5.312505245E0;7.549954362E0
2.734599550E-1;-1.364636272E-1;5.379539967E0;5.228711605E0;7.503165840E0
2.758162570E-1;1.532223225E-1;5.760201454E0;5.997217655E0;8.316851416E0
2.781722460E-1;3.710853159E-1;5.966094017E0;6.758541107E0;9.022741270E0
2.805284960E-1;6.272538900E-1;6.047493458E0;7.407341480E0;9.583023133E0
2.828841210E-1;7.373824120E-1;5.415451527E0;7.263695717E0;9.090221313E0
2.852402150E-1;5.961306095E-1;4.599063873E0;7.122443676E0;8.499174321E0
2.875958400E-1;3.184151351E-1;4.235160828E0;7.543805122E0;8.657191875E0
2.899517780E-1;-7.661116123E-2;5.257441044E0;9.655400276E0;1.099423986E1
2.923080800E-1;-2.801095545E-1;5.140130043E0;1.004563808E1;1.128779176E1
2.946649550E-1;-3.016564548E-1;4.247131348E0;9.214886665E0;1.015102249E1
2.970214650E-1;-1.316754371E-1;3.548054457E0;8.985053062E0;9.661118330E0
2.993774550E-1;-4.788197577E-3;3.967021704E0;1.034250641E1;1.107721639E1
3.017334960E-1;2.633508667E-2;3.899986982E0;1.091948414E1;1.159507334E1
3.040902150E-1;1.867397130E-1;3.909563303E0;1.128578186E1;1.194522621E1
3.064469860E-1;5.458545089E-1;4.239948750E0;1.171193123E1;1.246773659E1
3.088033920E-1;7.613233924E-1;4.002933025E0;1.102721882E1;1.175596193E1
3.111597980E-1;7.182296515E-1;3.612694979E0;9.985786438E0;1.064346511E1
3.135166730E-1;3.351738453E-1;3.938292503E0;9.267556190E0;1.007522144E1
3.158737050E-1;-3.399620354E-1;4.682857037E0;9.202916145E0;1.033142729E1
3.182306840E-1;-8.810283542E-1;5.183223724E0;8.827042580E0;1.027417636E1
3.205867250E-1;-9.336985350E-1;4.915084839E0;7.203843117E0;8.770701658E0
3.229426630E-1;-6.440125704E-1;5.195194244E0;6.351543903E0;8.230850830E0
3.252984960E-1;-2.825036645E-1;5.288564205E0;5.439392567E0;7.591818700E0
3.276549030E-1;5.985246971E-2;5.676408291E0;5.334052086E0;7.789563855E0
3.300110480E-1;4.069967866E-1;6.176774979E0;5.927788734E0;8.570698618E0
3.323673500E-1;7.278060317E-1;6.291691780E0;6.097769737E0;8.791921453E0
3.347242250E-1;9.456689954E-1;5.489668369E0;5.185617924E0;7.610609825E0
3.370805280E-1;6.631653905E-1;5.288564205E0;5.793719292E0;7.872476289E0
3.394365170E-1;5.267017335E-2;5.192800045E0;7.108079433E0;8.802996063E0
3.417922980E-1;-5.674014091E-1;5.013242722E0;8.542144775E0;9.920825788E0
3.441487050E-1;-8.283581734E-1;4.804956436E0;9.504571915E0;1.068225963E1
3.465043820E-1;-6.799240708E-1;4.338107109E0;1.047657585E1;1.135958237E1
3.488605800E-1;-1.651928127E-1;3.605512857E0;1.081414413E1;1.140055810E1
3.512168300E-1;4.453023672E-1;3.708459139E0;1.230087948E1;1.285545018E1
3.535726110E-1;1.055797577E0;3.442713976E0;1.229848576E1;1.281482501E1
3.559282880E-1;1.280842900E0;3.418773174E0;1.241819000E1;1.294372479E1
3.582842780E-1;1.223384500E0;3.579177618E0;1.214765739E1;1.272292271E1
3.606405800E-1;8.953929543E-1;3.792252541E0;1.113495350E1;1.179703765E1
3.629963090E-1;3.232033253E-1;3.904775143E0;9.796651840E0;1.055111921E1
3.653524550E-1;-3.639030159E-1;4.256707668E0;8.762401581E0;9.748418694E0
3.677084960E-1;-8.283581734E-1;4.651733875E0;7.615628242E0;8.962287590E0
3.700650070E-1;-1.003127337E0;5.393904686E0;7.057803154E0;8.939410359E0
3.724215170E-1;-8.834224343E-1;5.508821487E0;6.025946617E0;8.212160618E0
3.747782880E-1;-5.793719292E-1;5.357993126E0;4.931843281E0;7.305261139E0
3.771343820E-1;-2.729272544E-1;5.848783493E0;5.468121529E0;8.011436244E0
3.794905280E-1;1.675869152E-2;6.025946617E0;6.088193417E0;8.566120041E0
3.818465170E-1;2.106806934E-1;5.681196213E0;6.440125942E0;8.590436480E0
3.842025070E-1;3.974204063E-1;5.779354572E0;7.309183598E0;9.326470239E0
3.865582360E-1;5.051548481E-1;5.745837212E0;7.723362923E0;9.639510440E0
3.889143820E-1;5.267017484E-1;4.788197517E0;7.167931557E0;8.636173516E0
3.912709440E-1;5.434604287E-1;4.666098595E0;7.785609245E0;9.093048810E0
3.936268820E-1;4.333318770E-1;4.994090080E0;9.064058304E0;1.035788903E1
3.959833920E-1;1.939219981E-1;4.687645435E0;9.372897148E0;1.048154695E1
3.983393820E-1;3.351738304E-2;4.134608746E0;9.200521469E0;1.008690776E1
4.006954230E-1;1.077344418E-1;4.268678188E0;1.021083164E1;1.106771444E1
4.030512570E-1;1.532223225E-1;3.785070181E0;1.055318737E1;1.121249290E1
4.054071420E-1;1.316754371E-1;3.255974293E0;1.081414413E1;1.129444201E1
4.077634440E-1;1.915279031E-1;3.593542337E0;1.190106487E1;1.243324473E1
4.101203190E-1;2.872918546E-1;3.998144865E0;1.229848576E1;1.293524066E1
4.124769340E-1;2.896859646E-1;4.120244026E0;1.193697643E1;1.263137899E1
4.148325590E-1;2.729272544E-1;3.727611780E0;1.031377792E1;1.097012279E1
4.171881840E-1;1.149167418E-1;3.916745663E0;9.351349831E0;1.013912452E1
4.195445900E-1;-2.322275788E-1;4.520058632E0;8.776765823E0;9.875043190E0
4.219006840E-1;-5.697954893E-1;4.924661160E0;7.761668205E0;9.209801722E0
4.242569860E-1;-6.416184902E-1;5.745837212E0;7.038650513E0;9.108727715E0
4.266132360E-1;-4.476964772E-1;5.681196213E0;5.475304127E0;7.902871492E0
4.289697980E-1;-1.412518322E-1;5.676408291E0;4.541605473E0;7.271020797E0
4.313261530E-1;1.915279031E-1;5.992429256E0;4.515270233E0;7.505568374E0
4.336821420E-1;4.668492675E-1;6.143257618E0;4.493723392E0;7.625687663E0
4.360379750E-1;6.799240708E-1;5.918212414E0;4.666098595E0;7.567034493E0
4.383943820E-1;5.267017484E-1;6.332391262E0;6.497584343E0;9.088189925E0
4.407512570E-1;2.848977447E-1;5.427422047E0;6.895004272E0;8.779473829E0
4.431073500E-1;5.745837092E-2;4.860020638E0;7.572534561E0;8.998132125E0
4.454634960E-1;-1.316754371E-1;4.639763355E0;8.673819542E0;9.837676954E0
4.478200590E-1;-2.250452936E-1;4.340501308E0;1.018210220E1;1.107094406E1
4.501769860E-1;-1.077344418E-1;4.065179825E0;1.168559647E1;1.237297290E1
4.525340170E-1;2.513803840E-1;3.883228302E0;1.295207405E1;1.352401110E1
4.548908920E-1;6.775299311E-1;3.006988049E0;1.218117428E1;1.256511165E1
4.572478190E-1;7.637175322E-1;2.760396004E0;1.177178383E1;1.211519480E1
4.596049550E-1;6.751358509E-1;3.550448418E0;1.249719524E1;1.300928059E1
4.619619860E-1;4.740315676E-1;3.753946781E0;1.202077007E1;1.260221153E1
4.643188090E-1;2.537744641E-1;3.593542337E0;1.059867573E1;1.119418935E1
4.666758400E-1;-7.182296365E-3;4.034056664E0;9.597942352E0;1.041125171E1
