"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1,655035373E0;1,822456323E1
3,310070745E0;1,890951192E1
4,965106118E0;3,510492309E1
6,620141490E0;4,745075290E1
8,275176863E0;6,326372596E1
9,930212236E0;5,331027823E1
1,158524761E1;6,839104527E1
1,324028298E1;7,161330681E1
1,489531835E1;4,899953288E1
1,655035373E1;4,549168404E1
1,820538910E1;5,323342188E1
1,986042447E1;4,721224571E1
2,151545984E1;4,844527268E1
2,317049522E1;4,228163596E1
2,482553059E1;3,615237489E1
2,648056596E1;2,991712785E1
2,813560133E1;2,656300569E1
2,979063671E1;2,025824579E1
3,144567208E1;1,423802626E1
3,310070745E1;1,205446815E1
3,475574283E1;1,211642925E1
3,641077820E1;1,145143706E1
3,806581357E1;1,196987395E1
3,972084894E1;9,635317416E0
4,137588432E1;1,312610898E1
4,303091969E1;1,198103852E1
4,468595506E1;7,893334595E0
4,634099043E1;3,865352412E0
4,799602581E1;6,349676045E0
4,965106118E1;6,280877049E0
5,130609655E1;4,175614404E0
5,296113192E1;5,036980280E0
5,461616730E1;9,822534634E0
5,627120267E1;1,155743064E1
5,792623804E1;1,038915374E1
5,958127341E1;4,376541045E0
6,123630879E1;5,533972206E0
6,289134416E1;5,616959938E0
6,454637953E1;3,242087645E0
6,620141490E1;6,291052021E0
6,785645028E1;1,404982374E1
6,951148565E1;1,275525574E1
7,116652102E1;8,251570356E0
7,282155640E1;2,379108633E0
7,447659177E1;7,343877080E0
7,613162714E1;8,967190056E0
7,778666251E1;7,231535034E0
7,944169789E1;3,765921869E0
8,109673326E1;4,503933241E0
8,275176863E1;4,889658246E0
8,440680400E1;3,187498728E0
8,606183938E1;2,639893304E0
8,771687475E1;5,333136213E0
8,937191012E1;4,889911616E0
9,102694549E1;4,042601883E0
9,268198087E1;2,303476696E0
9,433701624E1;2,366097638E0
9,599205161E1;2,817773017E0
9,764708698E1;2,595530842E0
9,930212236E1;3,079906737E0
1,009571577E2;2,865379956E0
1,026121931E2;2,650998890E0
1,042672285E2;2,131112213E0
1,059222638E2;1,511358404E0
1,075772992E2;1,508396579E0
1,092323346E2;1,943890464E0
1,108873700E2;2,262715804E0
1,125424053E2;2,355762537E0
1,141974407E2;2,367048995E0
1,158524761E2;1,026111626E0
1,175075115E2;1,437516492E0
1,191625468E2;1,018562440E0
1,208175822E2;2,086036401E0
1,224726176E2;2,685876368E0
1,241276529E2;2,552552767E0
1,257826883E2;2,803591221E0
1,274377237E2;2,398080257E0
1,290927591E2;2,172469839E0
1,307477944E2;1,524980079E0
1,324028298E2;2,426622065E0
1,340578652E2;2,283724431E0
1,357129006E2;2,362647824E0
1,373679359E2;1,809449488E0
1,390229713E2;1,626735727E0
1,406780067E2;1,218616776E0
1,423330420E2;1,436564143E0
1,439880774E2;1,780754320E0
1,456431128E2;2,027047823E0
1,472981482E2;2,936583114E0
1,489531835E2;3,175493250E0
1,506082189E2;3,570842096E0
1,522632543E2;2,929037917E0
1,539182897E2;2,620311027E0
1,555733250E2;1,875853956E0
1,572283604E2;1,130839522E0
1,588833958E2;1,200928288E0
1,605384311E2;1,052005729E0
1,621934665E2;2,090695413E0
1,638485019E2;2,046386958E0
1,655035373E2;2,219668288E0
1,671585726E2;2,009237959E0
1,688136080E2;1,740066570E0
1,704686434E2;1,542663676E0
1,721236788E2;1,518853488E0
1,737787141E2;1,683270735E0
1,754337495E2;1,728595107E0
1,770887849E2;1,713898179E0
1,787438202E2;1,435009982E0
1,803988556E2;6,964810096E-1
1,820538910E2;6,470612967E-1
1,837089264E2;4,316219524E-1
1,853639617E2;5,302742270E-1
1,870189971E2;8,104564089E-1
1,886740325E2;1,281617080E0
1,903290679E2;1,821433148E0
1,919841032E2;1,791617939E0
1,936391386E2;2,112976770E0
1,952941740E2;1,945050662E0
1,969492093E2;1,321867240E0
1,986042447E2;1,247813651E0
2,002592801E2;1,022819528E0
2,019143155E2;1,169728449E0
2,035693508E2;1,116530621E0
2,052243862E2;1,330478209E0
2,068794216E2;1,266390578E0
2,085344570E2;1,507987986E0
2,101894923E2;1,731157939E0
