"Time (s)";"Peak-Frequency"
0,000000000E0;0,000000000E0
9,536823000E-3;0,000000000E0
1,157904680E-1;2,118696828E1
2,317844270E-1;1,904557741E1
3,532208330E-1;3,026777593E1
4,691293740E-1;2,017870665E1
5,931501560E-1;2,976676059E1
7,226567700E-1;1,986264651E1
8,479770830E-1;1,986271012E1
9,651809890E-1;1,986280029E1
1,087302447E0;1,986292814E1
1,202998697E0;1,986292064E1
1,317814426E0;1,986308087E1
1,433367864E0;1,986324050E1
1,548907447E0;1,986347412E1
1,664435155E0;1,986348783E1
1,780520572E0;1,986350178E1
1,904837551E0;1,986330034E1
2,036444738E0;1,986327241E1
2,147760468E0;1,986319998E1
2,263424738E0;1,986308163E1
2,383018124E0;2,979458603E1
2,500387186E0;2,979446835E1
2,615716040E0;2,979441013E1
2,733165884E0;1,986302842E1
2,847784738E0;1,986301532E1
2,961745155E0;1,986299255E1
3,077819009E0;1,986289262E1
3,202523644E0;1,986276232E1
3,324095571E0;1,986259542E1
3,438717082E0;1,986248626E1
3,555415675E0;1,986238864E1
3,674618123E0;1,986234456E1
3,793691509E0;2,979350142E1
3,905445779E0;1,986229773E1
4,018063800E0;1,986223788E1
4,141201508E0;1,986218132E1
4,257660883E0;1,986219993E1
4,373200831E0;1,986219485E1
4,489888592E0;1,986217554E1
4,610124685E0;1,986213721E1
4,731233800E0;1,986210106E1
4,848255362E0;1,986203122E1
4,972856716E0;1,986199173E1
5,087657914E0;1,986196975E1
5,203838852E0;1,986193391E1
5,323221456E0;1,986187342E1
5,448622706E0;1,986186125E1
5,570886977E0;1,986184160E1
5,684896872E0;1,986181014E1
5,807396352E0;1,986176214E1
5,927556768E0;1,986174184E1
6,041921195E0;1,986176124E1
6,165471351E0;1,986175260E1
6,293143122E0;1,986176101E1
6,412421091E0;1,986173334E1
6,531568591E0;1,986174010E1
6,650882133E0;1,986172925E1
6,770257757E0;2,979252096E1
6,889423903E0;2,979247241E1
7,006966716E0;2,979240840E1
7,121882705E0;2,979236954E1
7,253877341E0;1,986154313E1
7,383970882E0;3,144745030E1
7,517032809E0;2,979227258E1
7,650151663E0;2,979218112E1
7,783103747E0;2,979211703E1
7,916432236E0;2,979207141E1
8,047662340E0;2,979202168E1
8,191889632E0;2,979198668E1
8,304423746E0;2,979192906E1
8,437052236E0;1,158571877E1
8,566744163E0;1,158568723E1
8,700682288E0;1,158567939E1
8,830686090E0;1,158569913E1
8,961444527E0;1,324079242E1
9,092300829E0;2,979175719E1
9,222754788E0;2,979175164E1
9,356034319E0;1,324075410E1
9,486120673E0;1,324072816E1
9,622454058E0;1,489580411E1
9,764152444E0;1,489578528E1
9,899263277E0;1,489574394E1
1,003925052E1;1,489572122E1
1,017325739E1;1,655076452E1
1,030787291E1;1,655074276E1
1,044589744E1;2,979128704E1
1,058757796E1;2,979120548E1
1,072596369E1;2,979112987E1
1,086609265E1;2,979108427E1
1,100303677E1;2,979098105E1
1,114222671E1;2,979079964E1
1,128588895E1;2,979073574E1
1,142021130E1;2,979063717E1
1,155768359E1;2,979064312E1
1,169138802E1;2,979056509E1
1,182577057E1;2,979054888E1
1,196341937E1;2,979056847E1
1,210200468E1;2,979059190E1
1,224164114E1;2,979057954E1
1,237857463E1;2,979049510E1
1,250956119E1;2,979048563E1
1,264592791E1;1,489521440E1
1,278330182E1;1,489520196E1
1,292188400E1;1,324017745E1
1,306041473E1;1,324017495E1
1,320105458E1;1,324014420E1
1,333268187E1;1,324013150E1
1,347430354E1;1,324010068E1
1,358702281E1;1,324008463E1
1,372384734E1;1,324006601E1
1,386135286E1;1,324005651E1
1,400125760E1;1,323999088E1
1,413869395E1;1,323996077E1
1,426996479E1;1,323993259E1
1,440909052E1;1,158492054E1
1,454595703E1;9,929918298E0
1,468473338E1;9,929875866E0
1,482475119E1;1,323981301E1
1,496572531E1;1,489476251E1
1,510471848E1;1,158477895E1
1,524542223E1;1,654964124E1
1,538558791E1;1,158473376E1
1,554241702E1;1,158470261E1
1,567886286E1;1,158466815E1
1,581067182E1;1,158462783E1
1,594718437E1;1,158460236E1
1,608635265E1;1,158457502E1
1,622348588E1;1,323948248E1
1,637643291E1;1,323946130E1
1,650986140E1;1,158453038E1
1,664618161E1;1,158451159E1
1,678758754E1;1,158447957E1
1,692649551E1;1,158446047E1
1,706615374E1;1,323933973E1
1,720489848E1;1,158441659E1
1,735004343E1;1,489424628E1
1,746513416E1;1,323932504E1
1,760654807E1;1,654913454E1
1,774536239E1;1,654909887E1
1,787047458E1;1,654908273E1
1,800839530E1;9,929468309E0
1,814725504E1;9,929468631E0
1,828585728E1;9,929465528E0
1,842606630E1;9,929441451E0
1,856291343E1;9,929419302E0
1,870369874E1;1,158431122E1
1,883975562E1;1,158428226E1
1,897392187E1;1,158429012E1
1,910871833E1;1,158429611E1
1,924787140E1;1,158427564E1
1,938579067E1;9,929349692E0
1,952732489E1;1,323910610E1
1,965851609E1;1,323909376E1
1,979106728E1;9,929320695E0
1,992826609E1;1,323908363E1
2,004852353E1;1,323908085E1
2,018849650E1;1,323905966E1
2,032534541E1;1,323903377E1
2,046619197E1;1,323898369E1
2,060764661E1;9,929234289E0
