"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.808631000E-2;2.106806934E-1;2.927982807E0;1.026110744E1;1.067275952E1
2.044224700E-2;-2.992623448E-1;3.260762453E0;9.636247635E0;1.017739644E1
2.279808100E-2;-6.966827512E-1;3.488201857E0;8.956323624E0;9.636838273E0
2.515370600E-2;-6.966827512E-1;3.454684496E0;8.096841812E0;8.830575245E0
2.750948700E-2;-5.697954893E-1;3.160210371E0;7.194266796E0;7.878392680E0
2.986578900E-2;-4.524846673E-1;2.868130445E0;6.540678024E0;7.156212940E0
3.222136200E-2;-3.519325256E-1;2.537744761E0;6.284509182E0;6.786682594E0
3.457750800E-2;-3.327797353E-1;2.494650841E0;6.626865387E0;7.088679004E0
3.693354900E-2;-1.963160932E-1;2.413251638E0;7.294818878E0;7.686137258E0
3.928959100E-2;-1.891338080E-1;2.233694077E0;8.041777611E0;8.348373971E0
4.164589300E-2;-4.620610774E-1;2.037378073E0;9.013781548E0;9.252711367E0
4.400157000E-2;-1.034250736E0;1.872185230E0;1.023956013E1;1.046056135E1
4.635792400E-2;-1.362242222E0;1.740509868E0;1.141027451E1;1.162236821E1
4.871412200E-2;-9.959450960E-1;1.659110427E0;1.214047527E1;1.229372579E1
5.106995600E-2;-3.232033253E-1;1.639957666E0;1.230806160E1;1.242104271E1
5.342558100E-2;1.508282274E-1;1.582499266E0;1.199922276E1;1.210406543E1
5.578162200E-2;4.165731966E-1;1.623198986E0;1.134323978E1;1.146635936E1
5.813776800E-2;6.320420504E-1;1.704598308E0;1.052685261E1;1.068268498E1
6.049401800E-2;7.110473514E-1;2.030195713E0;9.947480202E0;1.017740858E1
6.284990300E-2;4.165731966E-1;2.360581398E0;9.423172951E0;9.723274460E0
6.520667400E-2;-1.149167418E-1;2.549715281E0;8.889288902E0;9.248443710E0
6.756256000E-2;-5.769777894E-1;2.590415001E0;8.525385857E0;8.928905714E0
6.991844500E-2;-9.217280149E-1;2.856159925E0;8.764795303E0;9.264387123E0
7.227464300E-2;-9.672158957E-1;3.040505409E0;9.224462509E0;9.760680730E0
7.463094500E-2;-7.517470121E-1;3.133875370E0;9.509360313E0;1.004062906E1
7.698729900E-2;-3.639030159E-1;3.198515892E0;9.593153954E0;1.011887010E1
7.934349700E-2;-1.149167418E-1;3.330191374E0;9.648218155E0;1.020742348E1
8.170000800E-2;2.154688910E-2;3.299068213E0;9.494996071E0;1.005182897E1
8.405584100E-2;1.604046226E-1;3.114722490E0;9.195733070E0;9.710238542E0
8.641214300E-2;-9.336985648E-2;2.695755243E0;8.798313141E0;9.202506636E0
8.876745600E-2;-5.099430680E-1;2.236088276E0;8.494262695E0;8.798444831E0
9.112323700E-2;-8.618755341E-1;1.788391829E0;8.099236488E0;8.338993132E0
9.347912200E-2;-1.046221137E0;1.544193745E0;7.960378647E0;8.175985640E0
9.583589300E-2;-1.204231739E0;1.541799664E0;8.034595490E0;8.269343684E0
9.819250800E-2;-1.137196898E0;1.616016626E0;8.206970215E0;8.441509736E0
1.005493830E-1;-9.743981957E-1;1.706992388E0;8.671425819E0;8.891394750E0
1.029056330E-1;-6.511948705E-1;1.759662628E0;9.372897148E0;9.558852874E0
1.052624030E-1;-1.867397130E-1;1.874579310E0;1.023237801E1;1.040434904E1
1.076186530E-1;1.675869226E-1;1.984707952E0;1.113255978E1;1.130933412E1
1.099745910E-1;5.769777894E-1;2.149900675E0;1.172390175E1;1.193335026E1
1.123308930E-1;9.432749152E-1;2.245664597E0;1.193218803E1;1.217825473E1
1.146869350E-1;8.690578341E-1;2.494650841E0;1.194894695E1;1.223747840E1
1.170431330E-1;4.141790867E-1;2.698149443E0;1.167841434E1;1.199320292E1
1.193991740E-1;8.858165145E-2;2.930377007E0;1.103200722E1;1.141490864E1
1.217548510E-1;-9.097575396E-2;3.188939571E0;1.028026009E1;1.076389147E1
1.241106850E-1;-4.692433476E-1;3.478625536E0;9.559636116E0;1.018369617E1
1.264671430E-1;-8.115994930E-1;3.406802654E0;8.458351135E0;9.154709279E0
1.288231850E-1;-7.038650513E-1;2.995017529E0;7.112867355E0;7.749737932E0
1.311797470E-1;-5.650073290E-1;2.602385283E0;6.270144939E0;6.812221371E0
1.335355280E-1;-4.836079478E-1;2.382128239E0;6.210292339E0;6.669043600E0
1.358916220E-1;-4.524846673E-1;2.372551918E0;6.617289066E0;7.044306890E0
1.382478200E-1;-3.998144865E-1;2.300729036E0;7.160749435E0;7.531901367E0
1.406038100E-1;-3.710853159E-1;2.214541435E0;7.881373405E0;8.194995109E0
1.429599030E-1;-6.272538900E-1;2.142718315E0;8.925200462E0;9.200211547E0
1.453155280E-1;-9.576395154E-1;2.030195713E0;1.013182640E1;1.037750810E1
1.476718830E-1;-1.132408738E0;1.900914431E0;1.134563446E1;1.155937916E1
1.500284450E-1;-8.235700130E-1;1.872185230E0;1.215244579E1;1.232336333E1
1.523846430E-1;-4.117850065E-1;1.807544589E0;1.232482052E1;1.246346602E1
1.547401120E-1;1.149167418E-1;1.604046226E0;1.179811859E1;1.190721514E1
1.570957370E-1;6.033129096E-1;1.637563586E0;1.102961349E1;1.116682474E1
