"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7,816831060E1;2,872918546E-1;1,898520350E0;8,542144775E0
7,817067102E1;3,112328425E-2;1,991890192E0;8,709731102E0
7,817303123E1;-7,900525630E-2;1,953584671E0;8,927594185E0
7,817539206E1;-2,848977447E-1;1,963160992E0;9,107151985E0
7,817775212E1;-5,075489283E-1;1,881761670E0;9,028146744E0
7,818011175E1;-5,338840485E-1;1,932037711E0;8,879712105E0
7,818247123E1;-6,344361901E-1;1,900914431E0;8,645091057E0
7,818483102E1;-6,942886710E-1;1,915279031E0;8,678607941E0
7,818719087E1;-7,373824120E-1;1,912884951E0;8,839013100E0
7,818955102E1;-6,727417707E-1;1,807544589E0;9,143063545E0
7,819191107E1;-6,895004511E-1;1,771633148E0;9,456689835E0
7,819427160E1;-8,714519739E-1;1,663898706E0;9,576395035E0
7,819663170E1;-9,600335956E-1;1,553770065E0;9,574001312E0
7,819899269E1;-9,552454352E-1;1,572922945E0;9,722434998E0
7,820135331E1;-6,655594707E-1;1,616016626E0;9,992968559E0
7,820371373E1;-3,399620354E-1;1,386183143E0;1,015816116E1
7,820607394E1;2,202570885E-1;1,371818662E0;1,039996529E1
7,820843384E1;9,576395154E-1;1,024674296E0;9,971421242E0
7,821079337E1;1,216202140E0;1,134802818E0;1,008394432E1
7,821315310E1;1,582499266E0;1,484341264E0;1,008873272E1
7,821551310E1;2,058924913E0;1,216202140E0;9,669765472E0
7,821787331E1;1,027068377E0;1,240143180E0;1,000254440E1
7,822023404E1;6,535889506E-1;1,314360261E0;9,808622360E0
7,822259472E1;-4,261495769E-1;1,517858624E0;9,399231911E0
7,822495462E1;-1,754874468E0;1,769238949E0;9,004205704E0
7,822731441E1;-2,664631844E0;1,874579310E0;8,791131020E0
7,822967462E1;-2,822642565E0;1,752480268E0;9,222068787E0
7,823203488E1;-3,741976500E0;1,527435064E0;1,024674320E1
7,823439498E1;-4,034056664E0;1,484341264E0;1,051967049E1
7,823675529E1;-3,579177618E0;1,668686867E0;1,003845596E1
7,823911514E1;-2,975864887E0;1,814726830E0;9,317832947E0
7,824147592E1;-2,185812235E0;1,996678352E0;9,044905663E0
7,824383706E1;-1,838667870E0;2,087654114E0;9,427961349E0
7,824619774E1;-1,496311784E0;2,049348593E0;9,873263359E0
7,824855899E1;-1,182684779E0;1,999072433E0;9,942691803E0
7,825091956E1;-9,743981957E-1;1,879367590E0;9,650611877E0
7,825327982E1;-9,265162349E-1;1,821909189E0;9,375290871E0
7,825563951E1;-9,791864157E-1;1,817121029E0;9,310649872E0
7,825799946E1;-9,241221547E-1;1,702204227E0;9,322620392E0
7,826035941E1;-9,073634148E-1;1,654322267E0;9,530907631E0
7,826271972E1;-1,039038897E0;1,606440306E0;9,751164436E0
7,826508029E1;-9,791864157E-1;1,594469786E0;9,803834915E0
7,826744087E1;-9,696100354E-1;1,623198986E0;9,818199158E0
7,826980107E1;-1,012703776E0;1,620804906E0;9,732011795E0
7,827216134E1;-8,810283542E-1;1,630381227E0;9,736800194E0
7,827452170E1;-8,307522535E-1;1,663898706E0;9,890022278E0
7,827688206E1;-6,799240708E-1;1,642351747E0;1,003127384E1
7,827924206E1;-4,692433476E-1;1,618410826E0;1,008394432E1
7,828160206E1;-2,801095545E-1;1,589681625E0;9,961845398E0
7,828396232E1;-1,388577223E-1;1,565740585E0;9,815805435E0
7,828632248E1;-1,005521491E-1;1,601652145E0;9,667370796E0
7,828868222E1;-2,633508667E-2;1,639957666E0;9,578789711E0
7,829104196E1;2,394098788E-3;1,661504507E0;9,516542435E0
7,829340170E1;3,351738304E-2;1,656716347E0;9,487813950E0
7,829576149E1;5,745837092E-2;1,695021987E0;9,497389793E0
7,829812165E1;8,618755639E-2;1,721356988E0;9,485419273E0
7,830048201E1;9,336985648E-2;1,783603549E0;9,480630875E0
7,830284196E1;1,149167418E-1;1,809938669E0;9,444719315E0
7,830520232E1;1,843456030E-1;1,841061950E0;9,418384552E0
7,830756248E1;2,346216738E-1;1,850638390E0;9,401625633E0
7,830992269E1;2,489862740E-1;1,833879709E0;9,406414032E0
7,831228300E1;2,705331743E-1;1,845850110E0;9,406414032E0
7,831464373E1;3,160210252E-1;1,831485629E0;9,406414032E0
7,831700368E1;2,705331743E-1;1,800362349E0;9,389655113E0
7,831936425E1;2,011042982E-1;1,785997748E0;9,368108749E0
7,832172482E1;1,173108369E-1;1,797968149E0;9,356138229E0
7,832408524E1;4,788197577E-2;1,738115668E0;9,382472992E0
7,832644545E1;1,675869152E-2;1,704598308E0;9,396838188E0
7,832880623E1;-4,069967940E-2;1,683051467E0;9,461478233E0
7,833116628E1;-7,900525630E-2;1,635169506E0;9,552453995E0
7,833352722E1;-1,125226468E-1;1,589681625E0;9,650611877E0
7,833588795E1;-1,508282274E-1;1,575317025E0;9,755952835E0
7,833824816E1;-1,771633029E-1;1,563346505E0;9,813410759E0
7,834060878E1;-2,034983933E-1;1,568134665E0;9,813410759E0
7,834296915E1;-2,346216738E-1;1,575317025E0;9,803834915E0
7,834532889E1;-2,346216738E-1;1,599257946E0;9,813410759E0
7,834768962E1;-2,394098788E-1;1,611228466E0;9,830169678E0
7,835005024E1;-2,729272544E-1;1,589681625E0;9,827775955E0
7,835241066E1;-2,585626841E-1;1,637563586E0;9,765528679E0
7,835477097E1;-2,465921789E-1;1,651928186E0;9,698493958E0
7,835713186E1;-2,801095545E-1;1,683051467E0;9,607518196E0
7,835949201E1;-3,423561156E-1;1,728539348E0;9,516542435E0
7,836185305E1;-3,806616962E-1;1,757268548E0;9,494996071E0
7,836421378E1;-4,069967866E-1;1,747692108E0;9,456689835E0
7,836657472E1;-5,147312284E-1;1,771633148E0;9,454296112E0
7,836893535E1;-5,554308891E-1;1,776421309E0;9,437537193E0
7,837129597E1;-6,368302703E-1;1,769238949E0;9,442325592E0
7,837365665E1;-7,158355117E-1;1,764450788E0;9,454296112E0
7,837601675E1;-7,828702927E-1;1,735721588E0;9,468660355E0
7,837837686E1;-8,714519739E-1;1,711780667E0;9,523724556E0
7,838073722E1;-9,911568761E-1;1,683051467E0;9,641036034E0
7,838309738E1;-1,115650058E0;1,718962908E0;9,698493958E0
7,838545805E1;-1,266478300E0;1,723751068E0;9,681735039E0
7,838781904E1;-1,247325420E0;1,714174747E0;9,516542435E0
7,839017993E1;-1,268872380E0;1,733327508E0;9,430355072E0
7,839254092E1;-1,335907102E0;1,745298028E0;9,492601395E0
7,839490139E1;-1,304783821E0;1,721356988E0;9,593153954E0
7,839726212E1;-1,299995661E0;1,685445547E0;9,705676079E0
7,839962253E1;-1,252113700E0;1,678263307E0;9,753558159E0
7,840198331E1;-1,197049379E0;1,673475027E0;9,739193916E0
7,840434321E1;-1,161137938E0;1,673475027E0;9,691311836E0
7,840670357E1;-1,108467698E0;1,706992388E0;9,643429756E0
7,840906347E1;-1,055797577E0;1,721356988E0;9,638641357E0
7,841142347E1;-9,887627959E-1;1,738115668E0;9,612306595E0
7,841378373E1;-9,073634148E-1;1,730933428E0;9,590759277E0
7,841614394E1;-8,163877130E-1;1,738115668E0;9,509360313E0
7,841850472E1;-7,637175322E-1;1,771633148E0;9,418384552E0
7,842086462E1;-6,392243505E-1;1,785997748E0;9,332197189E0
7,842322524E1;-5,769777894E-1;1,809938669E0;9,327408791E0
7,842558561E1;-4,524846673E-1;1,824303269E0;9,329802513E0
7,842794618E1;-4,357259870E-1;1,812332749E0;9,377684593E0
7,843030665E1;-3,806616962E-1;1,821909189E0;9,420778275E0
7,843266634E1;-3,519325256E-1;1,824303269E0;9,435143471E0
7,843502701E1;-3,232033253E-1;1,841061950E0;9,449507713E0
7,843738774E1;-2,944741547E-1;1,831485629E0;9,483025551E0
7,843974868E1;-2,561685741E-1;1,845850110E0;9,511754036E0
7,844210936E1;-2,250452936E-1;1,833879709E0;9,504571915E0
7,844447040E1;-1,747692078E-1;1,817121029E0;9,530907631E0
7,844683134E1;-1,580105126E-1;1,802756429E0;9,542878151E0
7,844919149E1;-1,340695322E-1;1,754874468E0;9,562030792E0
7,845155212E1;-1,532223225E-1;1,730933428E0;9,571606636E0
7,845391274E1;-1,795574129E-1;1,687839627E0;9,600336075E0
7,845627352E1;-1,939219981E-1;1,668686867E0;9,619488716E0
7,845863420E1;-2,202570885E-1;1,647140026E0;9,648218155E0
7,846099451E1;-2,801095545E-1;1,620804906E0;9,667370796E0
7,846335472E1;-3,255974352E-1;1,599257946E0;9,672159195E0
7,846571493E1;-3,375679255E-1;1,558558345E0;9,698493958E0
7,846807587E1;-3,950262964E-1;1,563346505E0;9,655400276E0
7,847043654E1;-4,022085965E-1;1,546587825E0;9,641036034E0
7,847279686E1;-4,572728574E-1;1,525040984E0;9,660188675E0
7,847515748E1;-4,596669674E-1;1,532223225E0;9,681735039E0
7,847751774E1;-4,572728574E-1;1,520252705E0;9,686523438E0
