"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.654088722E0;3.487405725E1
3.308177445E0;3.262020976E1
4.962266167E0;3.110234582E1
6.616354889E0;3.374983033E1
8.270443612E0;2.430107321E1
9.924532334E0;3.764909643E1
1.157862106E1;1.140155266E1
1.323270978E1;2.297429241E1
1.488679850E1;1.589299996E1
1.654088722E1;3.012355836E1
1.819497595E1;1.976831244E1
1.984906467E1;1.073869825E1
2.150315339E1;8.226305053E0
2.315724211E1;1.854074450E1
2.481133084E1;1.898202380E1
2.646541956E1;1.685018142E1
2.811950828E1;1.454882021E1
2.977359700E1;1.107110255E1
3.142768572E1;5.321080975E0
3.308177445E1;7.816157566E0
3.473586317E1;8.575712001E0
3.638995189E1;7.222740354E0
3.804404061E1;7.199683733E0
3.969812934E1;6.510442710E0
4.135221806E1;8.805233086E0
4.300630678E1;6.753148012E0
4.466039550E1;4.633901292E0
4.631448423E1;3.363254453E0
4.796857295E1;4.627565655E0
4.962266167E1;4.710202750E0
5.127675039E1;3.328315121E0
5.293083912E1;2.799070346E0
5.458492784E1;4.518729592E0
5.623901656E1;3.726826084E0
5.789310528E1;2.661745486E0
5.954719400E1;1.267012343E0
6.120128273E1;2.606821486E0
6.285537145E1;3.052327154E0
6.450946017E1;2.333363006E0
6.616354889E1;1.261815636E0
6.781763762E1;1.854148943E0
6.947172634E1;2.062088515E0
7.112581506E1;1.565096066E0
7.277990378E1;1.337240563E0
7.443399251E1;9.771435899E-1
7.608808123E1;1.240276181E0
7.774216995E1;1.180319375E0
7.939625867E1;9.358930036E-1
8.105034740E1;6.755674224E-1
8.270443612E1;1.115501749E0
8.435852484E1;1.672736189E0
8.601261356E1;1.257518567E0
8.766670228E1;9.655324914E-1
8.932079101E1;7.457222207E-1
9.097487973E1;1.157577810E0
9.262896845E1;1.261803278E0
9.428305717E1;4.886104900E-1
9.593714590E1;5.138120350E-1
9.759123462E1;8.109170662E-1
9.924532334E1;9.585450083E-1
1.008994121E2;1.029316935E0
1.025535008E2;7.331726521E-1
1.042075895E2;8.747182859E-1
1.058616782E2;6.377372811E-1
1.075157670E2;8.990123215E-1
1.091698557E2;7.616657308E-1
1.108239444E2;6.346998078E-1
1.124780331E2;7.607419349E-1
1.141321218E2;1.075609043E0
1.157862106E2;6.822629581E-1
1.174402993E2;8.441468661E-1
1.190943880E2;5.941511838E-1
1.207484767E2;7.726073202E-1
1.224025655E2;5.575731122E-1
1.240566542E2;6.107550810E-1
1.257107429E2;5.543145281E-1
1.273648316E2;6.465228887E-1
1.290189203E2;7.957163017E-1
1.306730091E2;5.085667365E-1
1.323270978E2;7.380319024E-1
1.339811865E2;8.791876393E-1
1.356352752E2;5.519415138E-1
1.372893640E2;7.893543242E-1
1.389434527E2;6.129303320E-1
1.405975414E2;5.605155598E-1
1.422516301E2;6.787030853E-1
1.439057188E2;8.767207420E-1
1.455598076E2;6.685531557E-1
1.472138963E2;6.036541221E-1
1.488679850E2;3.688740322E-1
1.505220737E2;6.299692224E-1
1.521761625E2;6.735295283E-1
1.538302512E2;5.422645497E-1
1.554843399E2;6.410620326E-1
1.571384286E2;5.502092332E-1
1.587925173E2;7.175002967E-1
1.604466061E2;7.492050432E-1
1.621006948E2;5.609717206E-1
1.637547835E2;4.080991552E-1
1.654088722E2;6.959441337E-1
1.670629610E2;4.899889642E-1
1.687170497E2;7.787989854E-1
1.703711384E2;6.769493493E-1
1.720252271E2;3.387363242E-1
1.736793158E2;6.113732424E-1
1.753334046E2;5.634017325E-1
1.769874933E2;6.237499991E-1
1.786415820E2;4.127524234E-1
1.802956707E2;5.148493348E-1
1.819497595E2;5.658754901E-1
1.836038482E2;6.353501497E-1
1.852579369E2;5.469708684E-1
1.869120256E2;5.669733934E-1
1.885661143E2;5.219732675E-1
1.902202031E2;4.965851873E-1
1.918742918E2;4.585713593E-1
1.935283805E2;5.839792054E-1
1.951824692E2;6.395872044E-1
1.968365580E2;5.283786098E-1
1.984906467E2;5.549175746E-1
2.001447354E2;6.515649372E-1
2.017988241E2;5.190825833E-1
2.034529128E2;5.072516875E-1
2.051070016E2;4.004688334E-1
2.067610903E2;4.234954403E-1
2.084151790E2;5.227226345E-1
2.100692677E2;4.753734907E-1
