"Time (s)";"Peak-Frequency"
0.000000000E0;0.000000000E0
9.077761000E-3;0.000000000E0
1.161972920E-1;1.086692400E1
2.291563550E-1;4.871106142E0
3.556217190E-1;3.027026076E0
4.731233340E-1;2.230427718E0
5.938044270E-1;1.758404393E0
7.129364060E-1;1.655368947E0
8.272658860E-1;8.276831683E0
9.436277080E-1;6.621536193E0
1.069746719E0;3.310807027E0
1.188506667E0;4.966206689E0
1.306993437E0;4.966143891E0
1.425641979E0;1.655367796E0
1.542452708E0;1.655381252E0
1.656381042E0;1.655384340E0
1.773723385E0;1.655379168E0
1.910825677E0;1.655376592E0
2.019835781E0;1.655363311E0
2.137593021E0;1.655353135E0
2.254120416E0;1.655345205E0
2.372635104E0;1.655330778E0
2.491444114E0;1.655326937E0
2.617352552E0;1.655326657E0
2.737343229E0;3.310643467E0
2.854880937E0;3.310633085E0
2.973289791E0;3.310630144E0
3.093767031E0;4.965951652E0
3.215286562E0;4.965960036E0
3.338310885E0;1.655321234E0
3.453190780E0;1.655311191E0
3.567747655E0;3.310601857E0
3.694916978E0;1.655313648E0
3.816365051E0;4.965969469E0
3.935042291E0;4.965983149E0
4.056604582E0;4.965987508E0
4.173439634E0;3.310664421E0
4.291490207E0;4.966015088E0
4.411177499E0;1.655341564E0
4.540241561E0;1.655345553E0
4.661297447E0;3.310696567E0
4.789822030E0;3.310704085E0
4.901731926E0;1.655356718E0
5.019102655E0;1.655356904E0
5.138853540E0;6.621452141E0
5.253512759E0;9.932211251E0
5.367785051E0;6.621485811E0
5.485530363E0;6.621492799E0
5.605691561E0;6.621502270E0
5.719359321E0;6.621521058E0
5.835499113E0;3.310762919E0
5.956517654E0;3.310771168E0
6.087478696E0;3.310782168E0
6.207027238E0;3.310789206E0
6.333396561E0;3.310800649E0
6.456886144E0;1.655403765E0
6.572541040E0;1.655407680E0
6.686983696E0;1.655410242E0
6.802107498E0;1.655416014E0
6.924461196E0;6.621664718E0
7.048148852E0;1.655416917E0
7.159165258E0;4.966249328E0
7.292677654E0;3.310834996E0
7.421675987E0;4.966259963E0
7.556391560E0;6.621675610E0
7.694701456E0;6.621679914E0
7.825960831E0;6.621695194E0
7.956411456E0;4.966278770E0
8.091586456E0;4.966289481E0
8.221090258E0;1.655428912E0
8.356331612E0;1.655426027E0
8.491068851E0;3.310842475E0
8.620359060E0;1.655415076E0
8.756589268E0;9.932471660E0
8.891405310E0;6.621634577E0
9.032564216E0;4.966213183E0
9.155460830E0;4.966204395E0
9.287404216E0;4.966196229E0
9.417182393E0;4.966192228E0
9.553814736E0;4.966180004E0
9.686233903E0;6.621594419E0
9.810925934E0;1.655399217E0
9.943763903E0;1.655404249E0
1.008279338E1;1.655407096E0
1.021978911E1;1.655410897E0
1.035779265E1;1.655414591E0
1.049894427E1;4.966256219E0
1.063826463E1;1.655418570E0
1.077890614E1;1.655416107E0
1.091419583E1;1.655422273E0
1.105153838E1;1.655425280E0
1.118387515E1;1.655426137E0
1.131947765E1;1.655424879E0
1.145691156E1;3.310856913E0
1.159741968E1;4.966300629E0
1.173863718E1;3.310879703E0
1.188247046E1;3.310889054E0
1.202323546E1;1.655450443E0
1.215880744E1;1.655455690E0
1.229849546E1;1.655457805E0
1.243930156E1;1.655462516E0
1.257835916E1;1.655465202E0
1.271780760E1;1.655466255E0
1.286072385E1;1.655468763E0
1.300904562E1;6.621889006E0
1.312328984E1;6.621909886E0
1.326036062E1;3.310968560E0
1.339861593E1;1.655480720E0
1.353949041E1;1.655480515E0
1.368225218E1;1.655484030E0
1.382285833E1;3.310973415E0
1.395932968E1;1.655486386E0
1.409762770E1;1.655487520E0
1.423816036E1;1.655487627E0
1.437845479E1;1.655489527E0
1.451875817E1;1.655483290E0
1.466058395E1;4.966432602E0
1.479906322E1;9.932818839E0
1.493932963E1;1.655462293E0
1.507750104E1;1.655456556E0
1.521155901E1;1.655455181E0
1.534440750E1;3.310901386E0
1.548072708E1;6.621789458E0
1.561906119E1;6.621770542E0
1.575671218E1;6.621752017E0
1.589656796E1;6.621732065E0
1.603801046E1;8.277132647E0
1.618048552E1;6.621683989E0
1.631857484E1;3.310829378E0
1.646924838E1;3.310807464E0
1.660552979E1;3.310802681E0
1.674872859E1;9.932402689E0
1.688220119E1;9.932393213E0
1.699783291E1;9.932364626E0
1.712182260E1;1.655389045E0
1.725560916E1;1.655388037E0
1.738725817E1;1.655382719E0
1.752436640E1;1.655376786E0
1.765951833E1;1.655371424E0
1.779932067E1;1.655363634E0
1.794059520E1;4.469477477E1
1.808073208E1;9.932165639E0
1.821902031E1;3.310725484E0
1.835801494E1;1.655363358E0
1.850123182E1;3.310727840E0
1.863547921E1;1.655363411E0
1.877630854E1;6.621460997E0
1.891681801E1;3.310734906E0
1.905639572E1;4.966097408E0
1.919379499E1;1.655367649E0
1.932663062E1;1.655361672E0
1.946394791E1;1.655360074E0
1.960100406E1;3.310706266E0
1.973956999E1;8.276722572E0
1.987860390E1;8.276699063E0
2.001795426E1;8.276676981E0
2.015637880E1;1.655330810E0
2.026748640E1;1.655326126E0
2.040214380E1;1.655322995E0
2.053898577E1;1.655314537E0
2.067799067E1;1.655310058E0
2.081628822E1;3.310616994E0
2.095464135E1;4.965911922E0
2.109343228E1;1.655300191E0
2.123405546E1;3.310584716E0
2.137358640E1;1.655285221E1
2.151092234E1;1.655280377E0
2.164469468E1;1.655275568E0
2.178108937E1;3.807120326E1
2.191856661E1;3.972643486E1
2.205828338E1;4.965789530E0
2.219926166E1;4.965776924E0
2.233975739E1;4.965763168E0
2.248018296E1;4.965743658E0
2.259562718E1;5.462292677E1
2.273527984E1;5.462273659E1
2.286665192E1;5.462254701E1
2.300092895E1;3.310446707E0
2.313927614E1;3.310432274E0
2.327991223E1;3.310417858E0
2.341782135E1;6.620810739E0
2.356203843E1;1.655196967E0
2.369975734E1;1.655194335E0
2.383936181E1;1.655188145E0
2.397668405E1;1.655180509E0
2.411317984E1;1.655175567E0
2.425418588E1;1.655176504E0
2.439415077E1;1.655178207E0
2.454609676E1;1.655176861E0
2.466099296E1;1.655178538E0
2.478129859E1;1.655176700E0
2.491808171E1;1.655169653E0
2.505799395E1;8.275848889E0
2.519737947E1;1.655167227E0
2.533721249E1;1.655162008E0
2.547808056E1;1.655158610E0
2.561728082E1;3.310309031E0
2.575590838E1;1.655153169E0
2.589558530E1;1.655152411E0
2.603582629E1;1.655153088E0
2.617841525E1;1.158606175E1
2.631763447E1;6.620591339E0
2.645887218E1;1.655142188E0
2.659498614E1;1.655141644E0
2.672527937E1;4.965436573E0
2.685906536E1;4.965435262E0
2.699671452E1;4.965435503E0
2.713807640E1;6.620590018E0
2.727772650E1;1.655145537E0
2.741739968E1;1.655143414E0
2.755570332E1;3.310281691E0
2.769741041E1;3.310277534E0
2.783743140E1;3.310277641E0
2.797823228E1;1.655139177E0
2.811665280E1;6.620546363E0
2.825725541E1;3.310272378E0
2.839623301E1;1.655130463E0
2.853739963E1;1.655126324E0
2.867687431E1;1.655123960E0
2.883222119E1;3.310246583E0
2.896171561E1;1.655119082E0
2.909798515E1;3.310235237E0
2.923799556E1;3.310237110E0
2.937715676E1;3.310249812E0
2.951715239E1;3.310258749E0
2.965034598E1;3.310261425E0
2.978337520E1;3.310262816E0
2.991961259E1;1.655133210E0
3.005808405E1;1.655136359E0
3.019928322E1;1.655143182E0
3.033899728E1;1.655146224E0
3.047765827E1;1.655149034E0
3.061734822E1;1.655153824E0
3.075666462E1;1.655155884E0
3.090734228E1;1.655161522E0
3.102006072E1;1.655165250E0
3.114470181E1;1.655165491E0
3.127903218E1;1.655166722E0
3.141970744E1;1.655165732E0
3.155956311E1;1.655165277E0
