"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
1,739729989E2;2,872918546E-2;4,405141771E-1;9,667370796E0
1,739753605E2;-9,576395154E-3;4,213613868E-1;9,775105476E0
1,739777225E2;-3,351738304E-2;4,309377670E-1;9,894810677E0
1,739800843E2;-1,029462516E-1;4,285436869E-1;9,961845398E0
1,739824461E2;-2,106806934E-1;5,099430680E-1;9,976209641E0
1,739848079E2;-3,615089059E-1;5,793719292E-1;9,957056999E0
1,739871694E2;-5,075489283E-1;6,416184902E-1;9,947480202E0
1,739895312E2;-5,745837092E-1;7,254119515E-1;9,901992798E0
1,739918931E2;-5,841600895E-1;7,972348928E-1;9,878051758E0
1,739942548E2;-5,458545089E-1;8,499050736E-1;9,897204399E0
1,739966164E2;-4,836079478E-1;9,073634148E-1;9,904386520E0
1,739989778E2;-4,046027064E-1;9,504572153E-1;9,909174919E0
1,740013399E2;-3,351738453E-1;9,863687158E-1;9,933115959E0
1,740037018E2;-2,848977447E-1;9,887627959E-1;9,945086479E0
1,740060640E2;-2,322275788E-1;9,743981957E-1;9,933115959E0
1,740084259E2;-2,274393886E-1;9,360926151E-1;9,861292839E0
1,740107880E2;-2,346216738E-1;8,762401342E-1;9,789469719E0
1,740131498E2;-2,561685741E-1;8,403286934E-1;9,741587639E0
1,740155119E2;-2,561685741E-1;7,541410923E-1;9,696100235E0
1,740178735E2;-2,753213644E-1;6,775299311E-1;9,643429756E0
1,740202357E2;-2,489862740E-1;6,559830904E-1;9,648218155E0
1,740225974E2;-1,532223225E-1;5,985246897E-1;9,662582397E0
1,740249590E2;-7,661116123E-2;5,506427288E-1;9,708070755E0
1,740273212E2;2,154688910E-2;5,003666282E-1;9,729617119E0
1,740296834E2;-1,436459273E-2;4,453023672E-1;9,727223396E0
1,740320448E2;-7,661116123E-2;4,333318770E-1;9,708070755E0
1,740344067E2;-1,364636272E-1;4,453023672E-1;9,724829674E0
1,740367688E2;-2,202570885E-1;4,668492675E-1;9,777499199E0
1,740391302E2;-2,513803840E-1;4,812138677E-1;9,882840157E0
1,740414920E2;-2,705331743E-1;4,907902479E-1;1,001451492E1
1,740438537E2;-2,082865983E-1;5,027607679E-1;1,011267281E1
1,740462157E2;-2,250452936E-1;5,099430680E-1;1,023477268E1
1,740485772E2;-1,987102032E-1;5,290958285E-1;1,023716640E1
1,740509390E2;-2,130747885E-1;5,171253681E-1;1,022280216E1
1,740533005E2;-2,274393886E-1;5,386722088E-1;1,018689060E1
1,740556623E2;-2,561685741E-1;5,386722088E-1;1,011985588E1
1,740580242E2;-2,777154446E-1;5,674014091E-1;1,006000328E1
1,740603857E2;-2,633508742E-1;5,721896291E-1;9,957056999E0
1,740627473E2;-2,394098788E-1;5,650073290E-1;9,851716042E0
1,740651087E2;-2,537744641E-1;5,889483094E-1;9,751164436E0
1,740674707E2;-2,274393886E-1;6,344361901E-1;9,655400276E0
1,740698323E2;-2,178629935E-1;6,583771706E-1;9,617094994E0
1,740721939E2;-2,034983933E-1;6,703476906E-1;9,578789711E0
1,740745552E2;-1,292813420E-1;6,918945312E-1;9,619488716E0
1,740769171E2;-1,149167418E-1;6,942886710E-1;9,698493958E0
1,740792795E2;-1,197049394E-1;6,871063709E-1;9,760741234E0
1,740816412E2;-1,364636272E-1;6,942886710E-1;9,854110718E0
1,740840027E2;-1,771633029E-1;7,278060317E-1;9,940298080E0
1,740863641E2;-1,580105126E-1;7,278060317E-1;1,005282116E1
1,740887266E2;-7,421706617E-2;7,325942516E-1;1,016534328E1
1,740910876E2;-1,436459273E-2;6,679535508E-1;1,018928432E1
1,740934493E2;7,182296365E-3;5,721896291E-1;1,020364857E1
1,740958116E2;7,182296365E-3;5,267017484E-1;1,018689060E1
1,740981735E2;-2,154688910E-2;5,051548481E-1;1,013422012E1
1,741005356E2;-4,548787698E-2;4,788197577E-1;1,011267281E1
1,741028971E2;-6,703476608E-2;4,046027064E-1;1,002888012E1
1,741052590E2;-3,351738304E-2;3,303856254E-1;9,949874878E0
1,741076202E2;1,436459273E-2;3,232033253E-1;9,873263359E0
1,741099811E2;1,005521491E-1;2,872918546E-1;9,796651840E0
1,741123428E2;1,675869226E-1;2,322275788E-1;9,736800194E0
1,741147041E2;2,202570885E-1;2,441980839E-1;9,626670837E0
1,741170655E2;2,944741547E-1;2,465921789E-1;9,545271873E0
1,741194271E2;3,375679255E-1;2,729272544E-1;9,492601395E0
1,741217887E2;3,447502255E-1;2,729272544E-1;9,394443512E0
1,741241507E2;3,423561156E-1;2,920800447E-1;9,305862427E0
1,741265129E2;3,303856254E-1;3,208092451E-1;9,257980347E0
1,741288747E2;2,825036645E-1;3,830558062E-1;9,262767792E0
1,741312362E2;2,370157838E-1;4,429082870E-1;9,322620392E0
1,741335978E2;2,011042982E-1;4,788197577E-1;9,444719315E0
1,741359591E2;1,316754371E-1;5,267017484E-1;9,538089752E0
1,741383208E2;1,149167418E-1;5,650073290E-1;9,609912872E0
1,741406821E2;1,053403467E-1;5,937365294E-1;9,708070755E0
1,741430440E2;8,618755639E-2;5,889483094E-1;9,791864395E0
