"Frequency (Hz)";"Absolute Amplitude (a.u.)"
8,273723281E-1;2,198861639E0
1,654744656E0;2,445962942E0
2,482116984E0;1,940688949E0
3,309489312E0;6,477396693E0
4,136861640E0;5,247546993E0
4,964233968E0;7,724597595E0
5,791606296E0;1,138827675E1
6,618978624E0;1,678692531E1
7,446350953E0;1,370654342E1
8,273723281E0;2,138012320E1
9,101095609E0;1,554962022E1
9,928467937E0;3,242328935E1
1,075584026E1;3,008366831E1
1,158321259E1;1,905027018E1
1,241058492E1;2,920851043E1
1,323795725E1;1,885773289E1
1,406532958E1;4,044116279E1
1,489270191E1;2,428157502E1
1,572007423E1;2,484753722E1
1,654744656E1;2,545968849E1
1,737481889E1;4,487992789E1
1,820219122E1;7,203376180E1
1,902956355E1;2,166513466E1
1,985693587E1;1,010732038E2
2,068430820E1;8,228320544E1
2,151168053E1;7,894178388E1
2,233905286E1;1,016404757E2
2,316642519E1;6,105757696E1
2,399379751E1;6,572271413E1
2,482116984E1;6,876195379E1
2,564854217E1;8,788430350E1
2,647591450E1;7,193817091E1
2,730328683E1;6,456178412E1
2,813065915E1;8,168512728E1
2,895803148E1;6,962226320E1
2,978540381E1;5,054843161E1
3,061277614E1;4,847047320E1
3,144014847E1;2,590656646E1
3,226752079E1;3,111033483E1
3,309489312E1;1,731940226E1
3,392226545E1;1,787830395E1
3,474963778E1;1,503931732E1
3,557701011E1;2,413892591E1
3,640438243E1;2,756890728E1
3,723175476E1;1,277293001E1
3,805912709E1;2,528263603E1
3,888649942E1;1,576044943E1
3,971387175E1;1,563426687E1
4,054124407E1;1,295251002E1
4,136861640E1;5,047306916E0
4,219598873E1;1,152957298E1
4,302336106E1;9,450665305E0
4,385073339E1;1,653166149E1
4,467810572E1;1,554178484E1
4,550547804E1;2,031401846E1
4,633285037E1;1,908305408E1
4,716022270E1;1,301435681E1
4,798759503E1;1,730182047E1
4,881496736E1;1,065861128E1
4,964233968E1;1,221396565E1
5,046971201E1;1,309172625E1
5,129708434E1;7,062464246E0
5,212445667E1;1,083738394E1
5,295182900E1;8,410993746E0
5,377920132E1;9,279593064E0
5,460657365E1;5,371244033E0
5,543394598E1;8,929532736E0
5,626131831E1;7,756410831E0
5,708869064E1;5,647375503E0
5,791606296E1;8,039588807E0
5,874343529E1;3,972122528E0
5,957080762E1;6,474267041E0
6,039817995E1;4,336864332E0
6,122555228E1;5,175012027E0
6,205292460E1;5,023468512E0
6,288029693E1;4,352608767E0
6,370766926E1;6,243222764E0
6,453504159E1;3,521868432E0
6,536241392E1;5,566698450E0
6,618978624E1;3,970125825E0
6,701715857E1;3,686339101E0
6,784453090E1;4,246609431E0
6,867190323E1;2,648933870E0
6,949927556E1;3,100132598E0
7,032664788E1;4,061129980E0
7,115402021E1;3,267934710E0
7,198139254E1;3,677775989E0
7,280876487E1;4,383804228E0
7,363613720E1;2,785777236E0
7,446350953E1;3,958590925E0
7,529088185E1;4,059890241E0
7,611825418E1;2,538789442E0
7,694562651E1;2,650897909E0
7,777299884E1;2,841412189E0
7,860037117E1;1,942342224E0
7,942774349E1;1,730956342E0
8,025511582E1;3,361482395E0
8,108248815E1;1,657331971E0
8,190986048E1;2,807807621E0
8,273723281E1;3,714094935E0
8,356460513E1;2,247669131E0
8,439197746E1;5,600088260E0
8,521934979E1;2,705898925E0
8,604672212E1;2,782930651E0
8,687409445E1;2,765516584E0
8,770146677E1;1,184834175E0
8,852883910E1;2,012619934E0
8,935621143E1;1,638501777E0
9,018358376E1;4,199280286E0
9,101095609E1;2,201365461E0
9,183832841E1;3,384129906E0
9,266570074E1;4,052163725E0
9,349307307E1;1,107686960E0
9,432044540E1;3,094216996E0
9,514781773E1;2,250974603E0
9,597519005E1;1,762909598E0
9,680256238E1;2,339329719E0
9,762993471E1;1,297366787E0
9,845730704E1;1,622366500E0
