"Time (s)";"Peak-Frequency"
0.000000000E0;0.000000000E0
0.000000000E0;0.000000000E0
9.079115000E-3;0.000000000E0
1.207696880E-1;2.066224252E1
2.358528650E-1;2.379583510E1
3.550332810E-1;2.117847822E1
4.771693230E-1;2.206082019E1
6.009040100E-1;2.256761139E1
7.327929690E-1;2.117883252E1
8.692533850E-1;2.129721728E1
1.004388802E0;2.143399567E1
1.133930052E0;2.253063390E1
1.269602864E0;2.233627319E1
1.408589166E0;4.136251666E0
1.546435104E0;4.136190510E0
1.678800937E0;1.985340749E1
1.813328541E0;4.136099235E0
1.953805729E0;4.136071453E0
2.090931458E0;2.068028502E1
2.231707604E0;4.136026611E0
2.371304635E0;4.136013241E0
2.510281562E0;4.135986714E0
2.640151093E0;4.963142527E0
2.775222239E0;2.564280212E1
2.913145676E0;2.564271132E1
3.051161874E0;2.481535174E1
3.189385989E0;2.564240456E1
3.330099634E0;2.564231751E1
3.467360989E0;2.564237207E1
3.606730780E0;2.564237283E1
3.733770624E0;2.564259453E1
3.872290103E0;2.564264113E1
4.011322447E0;2.316094468E1
4.152746770E0;2.481521997E0
4.291614894E0;2.316090359E1
4.431067915E0;2.481525358E0
4.571834217E0;2.481521495E0
4.712524946E0;2.481522855E0
4.854671457E0;2.481524728E0
4.985759894E0;5.790229942E0
5.117838592E0;2.481527277E0
5.254050727E0;1.654349905E0
5.392696404E0;1.654345868E0
5.535444686E0;1.654340792E0
5.673901352E0;1.654337024E0
5.814105467E0;1.654336858E0
5.949227863E0;1.654335869E0
6.089274790E0;1.654332370E0
6.228396769E0;1.654331210E0
6.369413123E0;3.308665313E0
6.501309164E0;3.308666459E0
6.637693487E0;2.481502232E0
6.775857185E0;2.481495656E0
6.914081352E0;2.481496128E0
7.054361820E0;1.654327535E0
7.197241404E0;1.654328918E0
7.336350935E0;1.654326580E0
7.478314216E0;2.150625036E1
7.631618174E0;2.150623338E1
7.766174685E0;2.481484155E0
7.900891195E0;2.481485185E0
8.036116351E0;2.150617193E1
8.175680778E0;2.150615482E1
8.297730049E0;2.150612173E1
8.435175466E0;1.654316809E0
8.578930414E0;1.654315349E0
8.717294268E0;3.308626861E0
8.837505622E0;3.308625442E0
8.975146611E0;3.308629309E0
9.115702236E0;3.308630459E0
9.246642132E0;2.398752555E1
9.380021090E0;1.819739402E1
9.519558017E0;2.067881401E1
9.656614319E0;2.316025150E1
9.797004997E0;2.564165882E1
9.940163642E0;2.564163051E1
1.008307031E1;2.564165868E1
1.022322010E1;2.564162457E1
1.036269729E1;2.481448033E1
1.050270526E1;2.481446175E1
1.064294088E1;2.481450987E1
1.079254791E1;2.150590832E1
1.090991192E1;2.150601698E1
1.105467104E1;2.150615970E1
1.120059828E1;2.150626709E1
1.134106031E1;2.150635837E1
1.148219177E1;2.150642996E1
1.162355880E1;2.150649831E1
1.175325724E1;2.067939949E1
1.189751953E1;2.067951154E1
1.204091098E1;2.067964076E1
1.218407062E1;2.067970069E1
1.233407598E1;2.067981331E1
1.247490109E1;2.067989229E1
1.262057333E1;2.067998141E1
1.273992046E1;2.068006685E1
1.288157666E1;2.068016923E1
1.302188411E1;1.985305775E1
1.316282072E1;1.985310170E1
1.330342203E1;1.985315271E1
1.344348015E1;1.985317314E1
1.358410484E1;1.985322159E1
1.372848651E1;1.985331046E1
1.387257255E1;1.985335548E1
1.401711973E1;1.985338896E1
1.416126026E1;1.985345387E1
1.430173822E1;1.985349430E1
1.444312401E1;1.985356821E1
1.458309348E1;1.985360970E1
1.472405583E1;1.985364842E1
1.486222885E1;1.985370275E1
