"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
4.806056237E2;1.627987146E0;4.251919270E0;8.657061577E0
4.806079841E2;1.642351747E0;4.237555027E0;8.635514259E0
4.806103439E2;1.654322267E0;4.235160828E0;8.635514259E0
4.806127047E2;1.616016626E0;4.249525547E0;8.642696381E0
4.806150648E2;1.611228466E0;4.235160828E0;8.654666901E0
4.806174244E2;1.618410826E0;4.254313469E0;8.640302658E0
4.806197837E2;1.616016626E0;4.232766628E0;8.649878502E0
4.806221438E2;1.625593066E0;4.232766628E0;8.645091057E0
4.806245043E2;1.630381227E0;4.232766628E0;8.649878502E0
4.806268643E2;1.642351747E0;4.237555027E0;8.642696381E0
4.806292247E2;1.611228466E0;4.254313469E0;8.673819542E0
4.806315849E2;1.618410826E0;4.232766628E0;8.640302658E0
4.806339454E2;1.625593066E0;4.235160828E0;8.676214218E0
4.806363056E2;1.632775426E0;4.237555027E0;8.645091057E0
4.806386663E2;1.620804906E0;4.235160828E0;8.621150017E0
4.806410267E2;1.630381227E0;4.230372429E0;8.664243698E0
4.806433865E2;1.630381227E0;4.201643467E0;8.671425819E0
4.806457469E2;1.620804906E0;4.227978230E0;8.642696381E0
4.806481082E2;1.627987146E0;4.227978230E0;8.637907982E0
4.806504689E2;1.644745827E0;4.239948750E0;8.659455299E0
4.806528299E2;1.630381227E0;4.208825588E0;8.664243698E0
4.806551909E2;1.637563586E0;4.235160828E0;8.633120537E0
4.806575520E2;1.644745827E0;4.247131348E0;8.647484779E0
4.806599126E2;1.637563586E0;4.237555027E0;8.652273178E0
4.806622738E2;1.635169506E0;4.232766628E0;8.657061577E0
4.806646350E2;1.644745827E0;4.235160828E0;8.661849022E0
4.806669957E2;1.649534106E0;4.213613987E0;8.652273178E0
4.806693571E2;1.630381227E0;4.223190308E0;8.657061577E0
4.806717179E2;1.616016626E0;4.230372429E0;8.669032097E0
4.806740786E2;1.613622546E0;4.232766628E0;8.659455299E0
4.806764399E2;1.618410826E0;4.235160828E0;8.659455299E0
4.806788005E2;1.620804906E0;4.232766628E0;8.669032097E0
4.806811614E2;1.666292787E0;4.239948750E0;8.621150017E0
4.806835225E2;1.637563586E0;4.251919270E0;8.637907982E0
4.806858830E2;1.644745827E0;4.259101868E0;8.654666901E0
4.806882442E2;1.637563586E0;4.235160828E0;8.659455299E0
4.806906054E2;1.632775426E0;4.230372429E0;8.654666901E0
4.806929664E2;1.611228466E0;4.239948750E0;8.642696381E0
4.806953263E2;1.627987146E0;4.227978230E0;8.637907982E0
4.806976869E2;1.663898706E0;4.239948750E0;8.637907982E0
4.807000472E2;1.644745827E0;4.223190308E0;8.652273178E0
4.807024081E2;1.644745827E0;4.242342949E0;8.640302658E0
4.807047692E2;1.623198986E0;4.249525547E0;8.642696381E0
4.807071297E2;1.616016626E0;4.225584507E0;8.633120537E0
4.807094906E2;1.618410826E0;4.235160828E0;8.654666901E0
4.807118513E2;1.623198986E0;4.225584507E0;8.654666901E0
4.807142123E2;1.639957666E0;4.230372429E0;8.647484779E0
4.807165730E2;1.637563586E0;4.249525547E0;8.671425819E0
4.807189335E2;1.625593066E0;4.247131348E0;8.654666901E0
4.807212941E2;1.606440306E0;4.227978230E0;8.649878502E0
4.807236552E2;1.630381227E0;4.237555027E0;8.637907982E0
4.807260165E2;1.642351747E0;4.237555027E0;8.652273178E0
4.807283769E2;1.630381227E0;4.232766628E0;8.661849022E0
4.807307374E2;1.639957666E0;4.259101868E0;8.669032097E0
4.807330977E2;1.651928186E0;4.232766628E0;8.635514259E0
4.807354582E2;1.637563586E0;4.244737148E0;8.652273178E0
4.807378188E2;1.635169506E0;4.247131348E0;8.649878502E0
4.807401791E2;1.635169506E0;4.244737148E0;8.647484779E0
4.807425403E2;1.637563586E0;4.218401909E0;8.645091057E0
4.807449005E2;1.620804906E0;4.230372429E0;8.645091057E0
4.807472606E2;1.623198986E0;4.230372429E0;8.654666901E0
4.807496211E2;1.637563586E0;4.239948750E0;8.647484779E0
4.807519810E2;1.611228466E0;4.235160828E0;8.652273178E0
