"Frequency (Hz)";"Absolute Amplitude (a.u.)"
8.274208513E-1;1.752721461E1
1.654841703E0;2.165914595E1
2.482262554E0;7.924832382E1
3.309683405E0;3.319658235E1
4.137104257E0;4.722714932E1
4.964525108E0;2.481997918E1
5.791945959E0;2.373797930E1
6.619366811E0;1.596642606E1
7.446787662E0;2.287620102E1
8.274208513E0;1.105192262E1
9.101629364E0;1.330605475E1
9.929050216E0;1.434860104E1
1.075647107E1;6.441596323E0
1.158389192E1;1.971384626E1
1.241131277E1;1.227150886E1
1.323873362E1;1.418058586E1
1.406615447E1;1.225826991E1
1.489357532E1;1.624594836E1
1.572099618E1;8.825432035E0
1.654841703E1;8.138435530E0
1.737583788E1;4.373885776E0
1.820325873E1;3.741064043E0
1.903067958E1;6.335839163E0
1.985810043E1;5.313546531E0
2.068552128E1;5.952871232E0
2.151294213E1;6.914538133E0
2.234036299E1;6.144503660E0
2.316778384E1;5.279727097E0
2.399520469E1;7.349279476E0
2.482262554E1;1.330163335E1
2.565004639E1;2.183092422E1
2.647746724E1;2.042271844E1
2.730488809E1;3.606818043E1
2.813230894E1;1.792258930E1
2.895972980E1;2.110784329E1
2.978715065E1;3.249645010E1
3.061457150E1;1.840213503E1
3.144199235E1;1.559307615E1
3.226941320E1;2.348118920E1
3.309683405E1;1.363731534E1
3.392425490E1;2.396459659E1
3.475167576E1;2.608532400E1
3.557909661E1;2.846519543E1
3.640651746E1;1.997474734E1
3.723393831E1;1.643707668E1
3.806135916E1;1.674545929E1
3.888878001E1;1.214429586E1
3.971620086E1;1.139287041E1
4.054362171E1;8.845019411E0
4.137104257E1;1.135607899E1
4.219846342E1;1.081803163E1
4.302588427E1;6.681599349E0
4.385330512E1;8.325438037E0
4.468072597E1;7.334398861E0
4.550814682E1;4.650426290E0
4.633556767E1;2.779698437E0
4.716298853E1;3.801913174E0
4.799040938E1;3.717535636E0
4.881783023E1;2.812950740E0
4.964525108E1;2.275705527E0
5.047267193E1;3.596438431E0
5.130009278E1;2.356369530E0
5.212751363E1;1.898589686E0
5.295493448E1;2.371641085E0
5.378235534E1;2.021987603E0
5.460977619E1;2.026909405E0
5.543719704E1;1.944653521E0
5.626461789E1;2.780940585E0
5.709203874E1;2.646370070E0
5.791945959E1;2.602835334E0
5.874688044E1;1.448763262E0
5.957430129E1;1.076898054E0
6.040172215E1;1.426658789E0
6.122914300E1;1.543376637E0
6.205656385E1;2.449027968E0
6.288398470E1;2.071947241E0
6.371140555E1;1.361786378E0
6.453882640E1;5.344724988E0
6.536624725E1;3.079193910E0
6.619366811E1;3.975853913E0
6.702108896E1;2.829242549E0
6.784850981E1;4.127354481E0
6.867593066E1;6.060104498E0
6.950335151E1;5.494828622E0
7.033077236E1;5.043516701E0
7.115819321E1;2.329220799E0
7.198561406E1;5.944715941E0
7.281303492E1;3.482310844E0
7.364045577E1;3.163245039E0
7.446787662E1;2.531006855E0
7.529529747E1;5.222816457E0
7.612271832E1;3.251476581E0
7.695013917E1;4.376923465E0
7.777756002E1;1.537374258E0
7.860498088E1;5.134809158E0
7.943240173E1;1.407005628E0
8.025982258E1;4.675657062E0
8.108724343E1;2.753292083E0
8.191466428E1;3.543702160E0
8.274208513E1;3.488219742E0
8.356950598E1;3.083200911E0
8.439692683E1;4.511278138E0
8.522434769E1;2.246987842E0
8.605176854E1;3.861024621E0
8.687918939E1;1.619106798E0
8.770661024E1;1.233008506E0
8.853403109E1;9.668659334E-1
8.936145194E1;1.221127932E0
9.018887279E1;1.647047225E0
9.101629364E1;2.334642752E0
9.184371450E1;1.617656810E0
9.267113535E1;3.102032012E0
9.349855620E1;1.969710801E0
9.432597705E1;2.769373298E0
9.515339790E1;2.026187117E0
9.598081875E1;2.592778598E0
9.680823960E1;3.454476640E0
9.763566046E1;1.657887290E0
9.846308131E1;1.952154629E0
9.929050216E1;1.870673089E0
1.001179230E2;1.905345024E0
1.009453439E2;1.706988458E0
1.017727647E2;1.843181227E0
1.026001856E2;2.108551165E0
1.034276064E2;1.713915423E0
1.042550273E2;1.212149037E0
1.050824481E2;2.687266342E0
1.059098690E2;1.937963966E0
1.067372898E2;1.439735035E0
1.075647107E2;2.508639554E0
1.083921315E2;2.291515776E0
1.092195524E2;2.912465204E0
1.100469732E2;1.453677491E0
1.108743941E2;1.866287456E0
1.117018149E2;3.213060754E0
1.125292358E2;2.683168186E0
1.133566566E2;1.905248126E0
1.141840775E2;2.800050806E0
1.150114983E2;4.417712735E0
1.158389192E2;3.030533562E0
1.166663400E2;4.015627183E0
1.174937609E2;5.693448801E0
1.183211817E2;2.268439200E0
1.191486026E2;4.520041530E0
1.199760234E2;5.597717457E0
1.208034443E2;3.820982875E0
1.216308651E2;2.170658117E0
1.224582860E2;5.529447681E0
1.232857068E2;5.522199815E0
1.241131277E2;5.422421012E0
1.249405485E2;5.864878854E0
1.257679694E2;5.645689405E0
1.265953903E2;5.809299855E0
1.274228111E2;8.606025405E0
1.282502320E2;6.603270897E0
1.290776528E2;3.573259096E0
1.299050737E2;6.010534744E0
1.307324945E2;7.405762151E0
1.315599154E2;6.826999337E0
1.323873362E2;4.330938414E0
1.332147571E2;8.181479488E0
1.340421779E2;9.424355686E0
1.348695988E2;8.020597006E0
1.356970196E2;1.104659397E1
1.365244405E2;8.471159844E0
1.373518613E2;1.071604447E1
1.381792822E2;9.560509584E0
1.390067030E2;1.060679807E1
1.398341239E2;1.323032635E1
1.406615447E2;1.144604681E1
1.414889656E2;1.086622777E1
1.423163864E2;2.044372811E1
1.431438073E2;1.403162082E1
1.439712281E2;1.197664342E1
1.447986490E2;1.347093014E1
1.456260698E2;1.849127183E1
1.464534907E2;1.287558727E1
1.472809115E2;9.692492946E0
1.481083324E2;1.737021072E1
1.489357532E2;1.536670606E1
1.497631741E2;1.410236558E1
1.505905949E2;1.523840863E1
1.514180158E2;1.422751190E1
1.522454366E2;1.219959432E1
1.530728575E2;1.563793551E1
1.539002783E2;1.327221050E1
1.547276992E2;1.136486170E1
1.555551200E2;1.272137614E1
