"Time (s)";"Peak-Frequency"
0,000000000E0;0,000000000E0
5,197604000E-3;0,000000000E0
1,163758340E-1;3,101880317E1
2,405253130E-1;2,706029416E1
3,670423440E-1;2,595666607E1
5,006202600E-1;2,701721786E1
6,327927600E-1;2,649820807E1
7,632326040E-1;2,649864315E1
8,987651040E-1;2,649875572E1
1,036759010E0;2,649859300E1
1,165828333E0;3,312351163E0
1,301357083E0;3,312394284E0
1,437546093E0;3,312400922E0
1,567055833E0;3,312411368E0
1,701689531E0;3,312425457E0
1,837876666E0;3,146807360E1
1,974189531E0;3,146818821E1
2,119017135E0;3,146781963E1
2,255531614E0;3,312369450E1
2,384405364E0;3,312319316E1
2,514971770E0;3,312279036E1
2,643210833E0;3,312259316E1
2,778207708E0;3,477821475E1
2,913183957E0;3,477788048E1
3,027810155E0;3,643384531E1
3,163884426E0;3,643350440E1
3,301060311E0;3,643321567E1
3,437226561E0;3,312086875E0
3,571469478E0;3,312053591E0
3,702920780E0;3,312024678E0
3,839470415E0;3,643208029E1
3,987902290E0;2,318391759E1
4,100260415E0;2,318377807E1
4,273059894E0;2,318360851E1
4,383712446E0;2,318345379E1
4,520669426E0;2,318330334E1
4,654304634E0;2,152722249E1
4,789305103E0;2,152713837E1
4,902795050E0;2,152714358E1
5,038132394E0;2,980672302E1
5,164908227E0;2,649472562E1
5,287381769E0;2,649461259E1
5,402180311E0;2,649453410E1
5,526565831E0;2,649440536E1
5,666174165E0;2,649433754E1
5,796870206E0;1,987077001E1
5,934828123E0;2,483838241E1
6,050585154E0;2,483829153E1
6,181478592E0;2,649407332E1
6,315335362E0;2,649394824E1
6,443659737E0;2,649384005E1
6,580703071E0;2,980561024E1
6,713306091E0;2,980568292E1
6,841654789E0;9,935234673E0
6,880644581E0;2,726866885E1
7,043210310E0;2,648512643E1
7,196011612E0;2,745213725E1
7,388462237E0;2,727441940E1
7,551656768E0;2,602121173E1
7,744697341E0;2,744075874E1
7,929877758E0;2,743461341E1
8,127054893E0;2,725750116E1
8,273498747E0;2,725910276E1
8,420432914E0;2,726068427E1
8,609165882E0;2,526461666E1
8,776845622E0;2,729374349E1
8,973538434E0;2,646637330E1
9,137740882E0;2,643260622E1
9,318709997E0;2,645397789E1
9,533763590E0;2,743372516E1
9,705467028E0;2,752922330E1
9,898900986E0;2,742568591E1
1,009859651E1;2,752899443E1
1,031967432E1;2,752872504E1
1,051824619E1;2,752855807E1
1,070551354E1;2,535515229E1
1,091154958E1;2,752820914E1
1,106256864E1;2,752798147E1
1,124650916E1;2,752778022E1
1,144817692E1;2,535434660E1
1,159846567E1;2,856223079E1
1,178542005E1;2,742370226E1
1,200122692E1;2,649218242E1
1,220213072E1;2,649209444E1
1,240075864E1;2,649203388E1
1,260022312E1;2,649196133E1
1,280123088E1;2,649188563E1
1,301863348E1;2,297335566E1
1,319141364E1;2,649178538E1
1,335780135E1;2,514643500E1
1,354771421E1;2,649167983E1
1,373861640E1;2,649169069E1
1,391885494E1;2,669861456E1
1,410547359E1;2,669864810E1
1,427392708E1;2,669863212E1
1,443245692E1;2,669860967E1
1,459540109E1;2,669850171E1
1,479226817E1;2,669846329E1
1,495460880E1;2,669844285E1
1,515040546E1;2,680192085E1
1,536547609E1;2,669839607E1
1,552023400E1;2,680185366E1
1,567948723E1;2,680183386E1
1,588597776E1;2,680184066E1
1,609083463E1;2,680191868E1
1,625202630E1;2,680180641E1
1,640046468E1;2,680167175E1
1,656426140E1;2,680154128E1
1,671794348E1;2,680143465E1
1,690757286E1;2,680127312E1
1,706721859E1;2,680112170E1
1,723174572E1;2,680104816E1
1,738971145E1;2,680087666E1
1,754773786E1;2,680072742E1
1,770758369E1;2,680057644E1
1,790408062E1;2,680049857E1
1,810067109E1;2,680039339E1
1,829135869E1;2,680026322E1
1,845021411E1;2,680022349E1
1,864850140E1;2,680021627E1
1,880771796E1;2,680016628E1
1,899926067E1;2,680005561E1
1,918904333E1;2,679996605E1
1,934761739E1;2,679985177E1
1,950300254E1;2,679978257E1
1,970551978E1;2,679972565E1
1,986546551E1;2,679976394E1
2,007581036E1;2,679979875E1
2,027019666E1;2,679971424E1
2,045239103E1;2,679964172E1
2,060899744E1;2,679967133E1
2,076869640E1;2,679974010E1
2,096626124E1;2,679978517E1
2,116356687E1;2,679981479E1
2,132380208E1;2,690337643E1
2,152192885E1;2,690340427E1
2,168407020E1;2,690348592E1
2,186058713E1;2,690355437E1
2,206105624E1;2,690358207E1
2,226082593E1;2,690363950E1
2,244663390E1;2,690371260E1
2,264205697E1;2,690372246E1
2,279815239E1;2,690374915E1
2,298727931E1;3,280198928E1
2,313677447E1;3,280206001E1
2,332316577E1;3,280200820E1
2,347718853E1;3,280201546E1
2,366397384E1;3,342287829E1
2,381651181E1;2,473086854E1
2,400477218E1;2,555870663E1
2,415659582E1;2,121271587E1
2,434243598E1;2,473100666E1
2,453735358E1;3,342311775E1
2,473522484E1;3,342302207E1
2,492188963E1;3,342295757E1
2,511931410E1;3,342287091E1
2,528901588E1;3,342276569E1
2,544211025E1;3,300882997E1
2,563865817E1;3,300878887E1
2,583915332E1;2,431671019E1
2,603769004E1;2,545486577E1
2,622073759E1;2,555825872E1
2,641794150E1;2,555821697E1
2,661556343E1;2,555814933E1
2,680409884E1;2,555807300E1
2,699837369E1;2,555801844E1
2,718648155E1;2,555803787E1
2,734124228E1;2,555803539E1
2,749619999E1;2,555801913E1
2,768549895E1;2,566144434E1
2,784036134E1;2,566141460E1
