"Frequency (Hz)";"Absolute Amplitude (a.u.)"
8.274073192E-1;3.568554285E1
1.654814638E0;4.746108146E1
2.482221958E0;3.447356886E1
3.309629277E0;3.031851497E1
4.137036596E0;2.403202232E1
4.964443915E0;1.718762100E1
5.791851234E0;1.621638768E1
6.619258553E0;3.131853265E1
7.446665873E0;5.316154288E1
8.274073192E0;7.745211897E1
9.101480511E0;1.031911879E2
9.928887830E0;1.260136909E2
1.075629515E1;1.453430153E2
1.158370247E1;1.532468113E2
1.241110979E1;1.586107931E2
1.323851711E1;1.590494153E2
1.406592443E1;1.451359610E2
1.489333175E1;1.382719756E2
1.572073906E1;1.065152232E2
1.654814638E1;6.135894296E1
1.737555370E1;3.825360691E1
1.820296102E1;5.485483751E1
1.903036834E1;7.229640343E1
1.985777566E1;1.098330647E3
2.068518298E1;2.520968873E2
2.151259030E1;1.180386739E2
2.233999762E1;1.703058960E2
2.316740494E1;1.806193537E2
2.399481226E1;1.966979343E2
2.482221958E1;1.985934312E2
2.564962689E1;1.802037557E2
2.647703421E1;1.663033997E2
2.730444153E1;1.448427963E2
2.813184885E1;9.224185939E1
2.895925617E1;1.063351357E2
2.978666349E1;1.661474052E2
3.061407081E1;4.936300420E1
3.144147813E1;3.986672734E1
3.226888545E1;2.399046650E1
3.309629277E1;3.637937340E1
3.392370009E1;3.510382710E1
3.475110741E1;3.782995493E1
3.557851472E1;3.618979041E1
3.640592204E1;3.639335632E1
3.723332936E1;3.521859443E1
3.806073668E1;8.324173791E1
3.888814400E1;6.807215611E1
3.971555132E1;4.996902565E1
4.054295864E1;1.729548960E1
4.137036596E1;4.800653317E1
4.219777328E1;2.260953307E1
4.302518060E1;1.799786525E1
4.385258792E1;1.820859145E1
4.467999524E1;1.294217228E1
4.550740256E1;1.103236938E1
4.633480987E1;1.229811261E1
4.716221719E1;6.853477871E0
4.798962451E1;1.492580299E1
4.881703183E1;1.350059537E1
4.964443915E1;2.447375917E1
5.047184647E1;2.368289616E1
5.129925379E1;3.124716331E1
5.212666111E1;2.227391461E1
5.295406843E1;2.387405187E1
5.378147575E1;1.955667468E1
5.460888307E1;1.686889816E1
5.543629039E1;1.378687428E1
5.626369770E1;1.127467106E1
5.709110502E1;1.122194013E1
5.791851234E1;1.147052894E1
5.874591966E1;1.486930181E1
5.957332698E1;1.628262930E1
6.040073430E1;1.511515681E1
6.122814162E1;1.399038085E1
6.205554894E1;1.570691499E1
6.288295626E1;1.624111153E1
6.371036358E1;2.007370738E1
6.453777090E1;1.481349250E1
6.536517822E1;2.126663857E1
6.619258553E1;2.452785806E1
6.701999285E1;2.097932149E1
6.784740017E1;1.909040734E1
6.867480749E1;2.435927882E1
6.950221481E1;4.298281447E1
7.032962213E1;2.070019430E1
7.115702945E1;2.699486300E1
7.198443677E1;2.004821900E1
7.281184409E1;2.377600240E1
7.363925141E1;1.413968619E1
7.446665873E1;2.194534135E1
7.529406605E1;1.051861204E1
7.612147336E1;1.391813367E1
7.694888068E1;2.739446255E1
