"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7.749627540E1;3.208092451E-1;5.518397808E0;6.011581898E0
7.749863613E1;3.615089059E-1;4.982119560E0;6.054676056E0
7.750099650E1;2.418039739E-1;4.393171310E0;6.329997063E0
7.750335738E1;1.220990419E-1;4.718768597E0;8.156694412E0
7.750571868E1;2.465921789E-1;4.939025879E0;9.851716042E0
7.750807972E1;4.812138677E-1;3.935898304E0;9.310649872E0
7.751044045E1;5.386722088E-1;3.033323050E0;9.162216187E0
7.751280061E1;5.961306095E-1;3.387649775E0;1.087878513E1
7.751516155E1;4.931843579E-1;3.054870129E0;1.183403015E1
7.751752155E1;2.801095545E-1;3.006988049E0;1.291855717E1
7.751988259E1;2.537744641E-1;3.066840649E0;1.330161285E1
7.752224363E1;2.489862740E-1;3.047687769E0;1.276294041E1
7.752460483E1;1.723751128E-1;3.102751970E0;1.176460171E1
7.752696592E1;2.394098788E-3;3.133875370E0;1.057234001E1
7.752932650E1;-2.202570885E-1;3.720429420E0;1.011027908E1
7.753168748E1;-3.758735061E-1;4.189672947E0;9.202916145E0
7.753404822E1;-2.729272544E-1;4.445841312E0;7.682662964E0
7.753640962E1;-9.097575396E-2;5.355598927E0;6.974009991E0
7.753877072E1;1.125226468E-1;5.338840485E0;5.482486248E0
7.754113118E1;3.710853159E-1;5.209558964E0;4.374018669E0
7.754349181E1;4.860020578E-1;5.578250408E0;4.658916473E0
7.754585254E1;5.602191091E-1;6.128892899E0;5.415451527E0
7.754821363E1;6.344361901E-1;5.516003609E0;4.512876034E0
7.755057504E1;4.213613868E-1;5.738654613E0;5.487274647E0
7.755293644E1;1.220990419E-1;5.274199486E0;6.586165905E0
7.755529722E1;-1.675869226E-1;4.299801350E0;7.167931557E0
7.755765827E1;-3.160210252E-1;4.254313469E0;8.953929901E0
7.756001931E1;-3.136269450E-1;4.125032425E0;1.047418213E1
7.756238035E1;-6.703476608E-2;3.184151411E0;1.079020309E1
7.756474150E1;4.093908966E-1;3.536083937E0;1.280603409E1
7.756710306E1;9.935510159E-1;2.829824686E0;1.300474453E1
7.756946462E1;1.352665782E0;2.224117756E0;1.288264561E1
7.757182488E1;1.338301182E0;2.602385283E0;1.307417393E1
7.757418535E1;1.072556257E0;3.107540131E0;1.265520573E1
7.757654650E1;5.937365294E-1;3.085993290E0;1.113495350E1
7.757890717E1;5.985246971E-2;3.406802654E0;1.012224960E1
7.758126806E1;-2.609567642E-1;3.955051184E0;9.286708832E0
7.758362915E1;-4.333318770E-1;4.532029152E0;8.171059608E0
7.758598993E1;-3.830558062E-1;4.895932198E0;6.734600067E0
7.758835098E1;-1.795574129E-1;4.974937439E0;5.329263687E0
7.759071181E1;1.029462516E-1;5.381934166E0;5.154494762E0
7.759307233E1;3.710853159E-1;5.760201454E0;5.815266132E0
7.759543332E1;5.769777894E-1;5.750625134E0;6.239021301E0
7.759779446E1;5.530368090E-1;5.693166733E0;6.674747467E0
7.760015488E1;3.806616962E-1;5.456151009E0;6.741782188E0
7.760251598E1;2.370157838E-1;4.814532757E0;6.509554386E0
7.760487634E1;1.891338080E-1;4.227978230E0;6.794452190E0
7.760723717E1;2.370157838E-1;4.941420078E0;9.042510986E0
7.760959806E1;2.992623448E-1;4.388382912E0;9.327408791E0
7.761195905E1;3.615089059E-1;3.715641260E0;9.138275146E0
7.761431941E1;5.841600895E-1;3.789858341E0;1.010788536E1
7.761667993E1;9.169398546E-1;3.375679255E0;1.073513889E1
7.761904108E1;1.062979817E0;2.911224127E0;1.135760498E1
7.762140223E1;9.336985350E-1;2.968682528E0;1.235594368E1
7.762376337E1;7.732939124E-1;3.109934330E0;1.288982773E1
7.762612379E1;6.416184902E-1;3.332585573E0;1.262887096E1
7.762848446E1;4.548787773E-1;3.069234610E0;1.147970390E1
7.763084514E1;2.872918546E-1;3.232033253E0;1.058670521E1
7.763320634E1;2.872918546E-2;3.629453659E0;9.882840157E0
7.763556722E1;-1.651928127E-1;4.062785625E0;8.929988861E0
7.763792811E1;-1.819515079E-1;4.943813801E0;8.254852295E0
7.764028863E1;1.915279031E-2;5.207164764E0;6.804028988E0
