"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
2.125840188E3;2.166659355E0;3.502566576E0;8.333857536E0
2.125842548E3;2.001466513E0;3.749158621E0;8.520597458E0
2.125844908E3;2.240876436E0;3.665365219E0;8.522992134E0
2.125847269E3;2.501833200E0;3.595936298E0;8.467926979E0
2.125849629E3;2.401281118E0;3.672547579E0;8.496656418E0
2.125851989E3;2.403675079E0;3.660577059E0;8.501444817E0
2.125854349E3;2.327064037E0;3.710853100E0;8.661849022E0
2.125856709E3;2.274393797E0;3.734794140E0;8.793524742E0
2.125859069E3;2.403675079E0;3.701276779E0;8.810283661E0
2.125861429E3;2.465921640E0;3.646212339E0;8.781554222E0
2.125863790E3;2.346216917E0;3.701276779E0;8.951535225E0
2.125866150E3;2.341428518E0;3.651000738E0;9.040117264E0
2.125868511E3;2.305517197E0;3.667759418E0;9.111940384E0
2.125870871E3;2.291152477E0;3.753946781E0;9.176580429E0
2.125873231E3;2.482680559E0;3.794646502E0;9.121516228E0
2.125875592E3;2.552109241E0;3.801828861E0;9.040117264E0
2.125877952E3;2.509015560E0;3.899986982E0;8.994628906E0
2.125880313E3;2.348610878E0;3.921533823E0;8.822254181E0
2.125882674E3;2.279181957E0;3.892804623E0;8.568479538E0
2.125885035E3;2.190600395E0;4.034056664E0;8.551720619E0
2.125887395E3;2.219329596E0;4.007721424E0;8.415257454E0
2.125889757E3;2.386916399E0;4.010115623E0;8.321887016E0
2.125892117E3;2.267211437E0;4.038844585E0;8.259640694E0
2.125894478E3;2.190600395E0;4.022086143E0;8.295552254E0
2.125896839E3;2.128353834E0;3.876045942E0;8.257246971E0
2.125899199E3;2.001466513E0;3.993356705E0;8.441592216E0
2.125901560E3;1.994284272E0;3.902380943E0;8.451169014E0
2.125903921E3;1.982313752E0;3.926321983E0;8.508626938E0
2.125906281E3;1.888943911E0;3.868863583E0;8.458351135E0
2.125908641E3;1.848244309E0;3.943080664E0;8.475110054E0
2.125911002E3;1.718962908E0;3.890410423E0;8.381739616E0
2.125913363E3;1.771633148E0;3.943080664E0;8.285975456E0
2.125915724E3;1.860214710E0;3.969415903E0;8.163876534E0
2.125918085E3;1.958372831E0;3.990962744E0;8.084871292E0
2.125920446E3;2.104412794E0;4.053209305E0;8.104023933E0
2.125922807E3;2.142718315E0;3.964627504E0;7.969954967E0
2.125925168E3;2.135536194E0;4.069967747E0;8.060930252E0
2.125927528E3;2.130748034E0;3.931110144E0;8.096841812E0
2.125929889E3;2.178629875E0;3.888016462E0;8.226123810E0
2.125932250E3;2.173841715E0;3.926321983E0;8.482292175E0
2.125934610E3;2.286364317E0;3.639030218E0;8.422439575E0
2.125936970E3;1.903308511E0;4.067574024E0;9.042510986E0
2.125939332E3;2.068501472E0;3.478625536E0;8.609179497E0
2.125941693E3;2.583232641E0;3.686912060E0;8.946746826E0
2.125944054E3;2.216935396E0;3.665365219E0;9.090393066E0
2.125946415E3;2.667026043E0;3.646212339E0;9.241221428E0
2.125948775E3;2.815460205E0;3.476231337E0;9.059269905E0
2.125951136E3;2.394098759E0;3.708459139E0;9.176580429E0
2.125953496E3;2.707725763E0;3.488201857E0;8.963505745E0
2.125955857E3;2.674208403E0;3.471443176E0;8.858165741E0
2.125958218E3;2.619143963E0;3.703670740E0;9.032935143E0
2.125960579E3;2.779548645E0;3.421167135E0;8.740854263E0
2.125962940E3;2.413251638E0;3.607906818E0;8.805495262E0
2.125965300E3;2.504227400E0;3.397226095E0;8.489474297E0
2.125967660E3;2.585626602E0;3.536083937E0;8.630725861E0
2.125970021E3;2.494650841E0;3.481019735E0;8.690578461E0
2.125972382E3;2.851371765E0;3.351738214E0;8.659455299E0
2.125974742E3;2.743637323E0;3.349344254E0;8.645091057E0
2.125977103E3;2.688572884E0;3.320615053E0;8.661849022E0
2.125979465E3;2.571262121E0;3.301462173E0;8.819859505E0
2.125981825E3;2.834612846E0;3.109934330E0;8.688184738E0
2.125984186E3;2.813066006E0;3.282309532E0;8.841406822E0
2.125986547E3;2.592808962E0;3.399620295E0;8.908441544E0
2.125988907E3;2.997411728E0;3.035717249E0;8.611573219E0
2.125991268E3;2.748425484E0;3.354132414E0;8.736066818E0
2.125993629E3;2.475498199E0;3.315826893E0;8.580450058E0
2.125995990E3;2.765184164E0;3.196121931E0;8.374557495E0
2.125998351E3;2.597597122E0;3.428349495E0;8.465533257E0
2.126000711E3;2.916012287E0;3.413984776E0;8.465533257E0
2.126003072E3;3.253580332E0;3.267944813E0;8.235699654E0
2.126005433E3;2.997411728E0;3.653394699E0;8.575661659E0
2.126007795E3;3.296674013E0;3.354132414E0;8.467926979E0
2.126010155E3;3.435531855E0;3.358920574E0;8.606784821E0
2.126012516E3;3.126693010E0;3.461866856E0;8.745642662E0
2.126014877E3;3.332585573E0;3.481019735E0;8.860559464E0
2.126017237E3;3.229639292E0;3.241609812E0;8.850983620E0
2.126019598E3;3.047687769E0;3.533689737E0;9.210098267E0
2.126021959E3;3.035717249E0;3.318220854E0;9.013781548E0
2.126024320E3;3.062052250E0;3.392437935E0;8.961112022E0
2.126026681E3;3.112328529E0;3.406802654E0;9.006599426E0
2.126029042E3;3.260762453E0;3.449896336E0;8.989840508E0
2.126031402E3;3.461866856E0;3.526507616E0;9.016176224E0
2.126033762E3;3.598330498E0;3.500172377E0;8.827042580E0
2.126036122E3;3.581571817E0;3.636636019E0;8.841406822E0
2.126038483E3;3.524113417E0;3.504960537E0;8.692973137E0
2.126040843E3;3.409196615E0;3.672547579E0;8.774372101E0
2.126043203E3;3.179363251E0;3.509748936E0;8.599602699E0
2.126045564E3;3.186545372E0;3.651000738E0;8.597208977E0
2.126047924E3;3.002199888E0;3.540872097E0;8.532567978E0
2.126050285E3;3.131481171E0;3.586359978E0;8.568479538E0
2.126052646E3;3.105146170E0;3.605512857E0;8.628332138E0
2.126055006E3;3.109934330E0;3.646212339E0;8.657061577E0
2.126057367E3;3.368496895E0;3.543266296E0;8.590026855E0
2.126059727E3;3.440320015E0;3.574389458E0;8.606784821E0
2.126062088E3;3.356526613E0;3.895198822E0;8.906047821E0
2.126064449E3;3.710853100E0;3.413984776E0;8.592420578E0
2.126066809E3;3.634242058E0;3.777887821E0;8.834224701E0
2.126069170E3;3.248792171E0;3.761129141E0;8.719307899E0
2.126071530E3;3.476231337E0;3.603118658E0;8.515809059E0
2.126073891E3;3.327797413E0;3.634242058E0;8.491868019E0
2.126076252E3;3.212880611E0;3.897592783E0;8.647484779E0
2.126078612E3;3.481019735E0;3.567207098E0;8.305129051E0
2.126080973E3;3.342161894E0;3.811405182E0;8.432016373E0
2.126083333E3;3.311038733E0;3.636636019E0;8.336252213E0
2.126085693E3;3.370891094E0;3.732399940E0;8.511021614E0
2.126088053E3;3.301462173E0;3.662971258E0;8.522992134E0
2.126090414E3;3.449896336E0;3.672547579E0;8.611573219E0
2.126092775E3;3.354132414E0;3.696488619E0;8.683396339E0
2.126095136E3;3.291885853E0;3.696488619E0;8.740854263E0
2.126097497E3;3.186545372E0;3.667759418E0;8.745642662E0
2.126099858E3;3.038111448E0;3.653394699E0;8.714519501E0
2.126102219E3;2.999805689E0;3.749158621E0;8.726490021E0
2.126104579E3;3.074022770E0;3.646212339E0;8.582843781E0
2.126106941E3;3.071628809E0;3.809011221E0;8.633120537E0
2.126109302E3;3.129087210E0;3.715641260E0;8.393710136E0
